date,fee_revenue_usd,gross_profit_margin
2026-08-06,122568.28,0.89034
2026-08-07,104389.86,0.890744
2026-08-08,94398.06,0.891058
2026-08-09,88386.95,0.890391
2026-08-10,87960.23,0.889174
2026-08-11,117952.26,0.887988
2026-08-12,411142.09,0.895526
2026-08-13,120917.94,0.895603
2026-08-14,128412.59,0.898966
2026-08-15,67996.3,0.899072
2026-08-16,40022.85,0.898715
2026-08-17,45344.27,0.898133
2026-08-18,61124.89,0.898207
2026-08-19,52584.13,0.882038
2026-08-20,57406.48,0.895149
2026-08-21,63168.55,0.890832
2026-08-22,54675.95,0.896025
2026-08-23,55910.64,0.897319
2026-08-24,83917.81,0.882452
2026-08-25,107058.07,0.897343
2026-08-26,137841.03,0.898617
2026-08-27,199473.07,0.898157
2026-08-28,283470.66,0.898902
2026-08-29,546406.1,0.899846
2026-08-30,1087895.82,0.899874
2026-08-31,2176650.2,0.899818
2026-09-01,3833369.73,0.899941
2026-09-02,4606371.48,0.899943
2026-09-03,4305372.2,0.899915
