block_date,native_stablecoin_volume_usd,memes_volume_usd,tokenized_assets_volume_usd,total_volume_usd,total_trade_cnt
2026-06-10,0.0,0.0,0.25005475,0.25005475,1
2026-06-11,1.104585147227898,0.0,1.5893209198577434,5.013572985098642,23
2026-06-15,0.3371890175575909,0.0,0.0,0.3371890175575909,4
2026-06-16,0.0,30435.411385067473,0.0,30435.411385067473,288
2026-06-17,0.0,271234.4638348243,0.0,271234.4638348243,2612
2026-06-18,0.0010502242731823316,491436.5881795012,0.999944,491437.58917372546,4537
2026-06-19,0.0,354566.2657993556,8.00032,354574.26611935557,4795
2026-06-20,0.0,153336.518324781,0.0,153336.518324781,1437
2026-06-21,0.0,190502.95877279056,0.0,190502.95877279056,2378
2026-06-22,0.036756472052818914,222879.85768962544,0.0,222879.8944460975,2096
2026-06-23,0.028194722560969814,175248.21753873976,0.07219097521816903,175248.3179244375,1882
2026-06-24,485.5497331036104,275793.34197728237,0.0,276278.891710386,2880
2026-06-25,3.2462625305820003,68687.8907039514,1.9975854885570001,68693.13455197052,788
2026-06-26,34.13210036234769,47204.434726912295,0.0,47238.56682727464,552
2026-06-27,0.0,41342.61836124169,0.0,41342.61836124169,449
2026-06-28,2521.625931301507,305768.0991918189,0.0,308289.7251231205,4058
2026-06-29,346.3543077394788,161864.0085349911,79.761757859831,162306.79579167117,1773
2026-06-30,11842.269267343243,492397.41961351776,1197.5140145243317,505452.2145589718,5686
2026-07-01,870077.4885493298,11762147.180177206,226890.70940709265,13053376.238175709,78083
2026-07-02,2926290.411199891,12223914.57004949,75562.70570296861,17185947.89189333,153253
2026-07-03,1954645.0342122102,4915765.195786709,67098.00844996097,9195325.244710423,83064
2026-07-04,1494409.8739618277,4410290.494533202,26332.855210697297,6763443.0581623735,67244
2026-07-05,1217649.5359549634,3125768.764311435,20627.752623561406,4833392.8079223875,44953
2026-07-06,2438724.7205516063,7145458.19479509,210841.9436840945,10272575.461839784,84467
2026-07-07,3070697.148150842,8811374.103267474,40295.277971701515,14000535.831253521,109442
2026-07-08,86117504.00740823,268585733.59086597,93730.18707589194,361114173.69588053,1752726
2026-07-09,53219033.524374105,156793091.4488685,230696.809900993,216141552.07161182,1558878
2026-07-10,109930335.15167129,322039511.8955916,291466.2476221611,459424215.315389,2990812
2026-07-11,124172018.9845697,302704950.6918018,301431.2952205946,446533091.2544265,3204882
2026-07-12,116372847.40477824,235793178.79028973,623622.1234148458,363770290.38088536,2352917
2026-07-13,138284024.1294741,140562486.5086757,293800.7278810513,293225551.18726665,1668941
2026-07-14,157438868.94065806,159364947.992537,1813284.3700401946,343697917.81494844,1578101
2026-07-15,172372233.16418624,135841498.13214508,1383723.4328917442,359401903.21624017,1264319
2026-07-16,171677072.8216843,148990992.0995864,604282.9572378166,366194908.2930031,1211854
2026-07-17,177892105.1755354,122959251.31660634,2133121.6361148953,348034741.1553018,1106425
2026-07-18,72744070.15640171,51437449.28125716,723086.8277803592,147972135.20606253,706027
2026-07-19,81550378.64305304,74913557.44095285,1560103.3330715927,175642821.71020806,1236026
2026-07-20,146944371.60129914,122314244.01693802,6944701.894015003,301586658.64900506,2058599
2026-07-21,115825922.9486723,156704637.65257844,8028715.59527802,318536070.02872777,2578082
2026-07-22,139071072.37696093,146273479.02961746,33603953.549748965,350442133.643199,2932185
2026-07-23,181764181.95469937,153722706.93428996,68744212.28605777,427326461.9519397,2825173
2026-07-24,151977069.36025685,129138720.21159534,48516545.615410514,349512336.5711379,2759666
2026-07-25,64990843.42971059,108289617.51401243,16065580.991132366,198359703.3388288,1923973
2026-07-26,83722243.5883483,120402308.76084857,9341669.25649937,226114629.90556586,2188154
2026-07-27,178574495.15433502,112727562.39069355,30913316.500898506,341830420.0133528,2445105
2026-07-28,127942495.36603907,92664959.91556995,24646572.091889504,259014665.09166592,2226105
2026-07-29,182563910.39499453,99021243.36870357,21749664.304973092,320152443.96094877,2390425
2026-07-30,143259772.55078816,83579663.58285508,19432090.50457191,255902391.66639385,2311272
2026-07-31,127895060.80361807,70818077.16005693,21550179.74835221,227786965.44260076,2635604
2026-08-01,55771841.44537962,60528469.401735045,8061172.408456148,135131286.54627353,2366733
2026-08-02,66074866.38111731,52924155.007937185,5415326.170919966,129798616.3385393,2226702
2026-08-03,112807232.21544297,74575757.4809536,17493925.526596773,214348626.85579988,2162256
2026-08-04,117190763.45512536,67770713.77993424,21186231.699880626,216299123.22091416,2827105
2026-08-05,144344915.9766074,84849997.1328498,19936070.806198806,261917756.13890582,2894576
2026-08-06,163588188.71150768,153760124.29701453,16769676.998081408,345970107.2638027,3645455
2026-08-07,137244404.49690142,77417158.34571305,13363700.815423848,239482868.5713447,2565641
2026-08-08,73249589.59107682,65317586.164091766,7093074.982950304,152287392.37850413,2983291
2026-08-09,201120598.24783427,66015383.3715484,7236016.434203455,280988050.07118064,2854383
2026-08-10,316309421.25291777,69088391.35972854,18994114.87185532,412936427.6431332,2829514
2026-08-11,193187834.4290533,65753345.31247363,14582824.488127258,284508934.5624601,2645239
2026-08-12,180105277.90091908,61574691.160235465,19608786.311535496,273611279.0883733,1975227
2026-08-13,130566181.4781371,38626100.763474315,18469545.982401602,196900704.4856127,1674203
2026-08-14,146709751.35868302,52465036.16686011,19929814.007746324,232085993.2533381,2187788
2026-08-15,64478078.24634102,35929299.02043209,8188933.061867947,112538213.00192752,1650764
2026-08-16,96082218.13782819,30753837.139394186,6115352.177220094,138438842.88886842,1483859
2026-08-17,194541097.28253946,32393460.93121912,21340297.20582485,253206297.84630802,1635331
2026-08-18,136799411.4494752,49061160.9379116,36074565.03726443,229494587.64303285,1541301
2026-08-19,202669759.12666252,55537469.657092355,45120738.07049073,311079823.26996076,1678652
2026-08-20,172988665.1862782,54849385.33484385,31555898.36566522,266699790.36011016,1660018
2026-08-21,276681794.4754207,65831688.213680714,33705951.9615503,386703733.7329384,2113445
2026-08-22,145916456.9891289,67266116.44387832,16618690.952125313,239553349.80742878,2231731
2026-08-23,144673266.76740512,64235551.854811795,29647719.82802776,252805797.6535969,2433493
2026-08-24,189040038.8856204,125920681.40209503,65485052.59301225,408914060.93509686,3703738
2026-08-25,199488263.32528502,147456409.06953937,85805702.90510014,459522908.6513225,4000162
2026-08-26,228426489.29620978,165289316.58232352,100169619.45909585,521128153.563851,3749444
2026-08-27,249967901.26916674,149673903.29061535,97005733.22031891,518581547.6390496,3623975
2026-08-28,282151535.02591544,161865400.40161553,105579681.78198354,570239721.6622285,3835210
2026-08-29,223469569.76291874,229874469.42105696,127587758.1895842,610151495.8287455,5288351
2026-08-30,442844997.6839412,302767129.25288445,157935864.5019798,978226775.402535,5891357
