Asset class,Ticker count,Tickers (sorted by Q1 volume desc),Cumulative volume total (USD),Cumulative volume Q1 2026 (USD),Q1 share of platform total (%)
Commodities (Precious Metals),4,"SILVER, GOLD, PLATINUM, PALLADIUM",49347452789.76,48739639434.40,43.31
Commodities (Energy),4,"CL, BRENTOIL, NATGAS, TTF",26909312900.55,25336771946.34,22.52
Indices (Equity),4,"XYZ100, SP500, JP225, KR200",31532361762.45,22470304403.29,19.97
Equities (US Single-Name),34,"NVDA, TSLA, CRCL, MU, SNDK, HOOD, GOOGL, MSTR, PLTR, INTC, COIN, AMZN, META, AMD, AAPL, MSFT, ORCL, NFLX, RIVN, BABA, TSM, CRWV, HIMS, LLY, DKNG, COST, GME, RKLB, ZM, EBAY, BX, MRVL, BIRD, LITE",16194433464.04,12151352513.74,10.80
Commodities (Industrial Metals),2,"COPPER, ALUMINIUM",1933067417.57,1926866168.89,1.71
Forex,4,"EUR, JPY, DXY, KRW",1209101910.22,1177109254.97,1.05
Indices (Sector ETF),4,"EWY, EWJ, EWZ, XLE",418568741.39,403872063.41,0.36
Equities (Korean),5,"SKHX, SMSN, HYUNDAI, KIOXIA, SOFTBANK",207897661.39,203638537.17,0.18
Commodities (Special/Rare),4,"USAR, URNM, URANIUM, DRAM",122506102.39,120573219.18,0.11
Indices (Volatility),2,"VIX, VOL",0.00,0.00,0.00
Commodities (Agricultural),2,"CORN, WHEAT",0.00,0.00,0.00
Pre-IPO,1,CBRS,0.00,0.00,0.00
Other,1,PURRDAT,0.00,0.00,0.00
TOTAL PLATFORM Q1 2026,,,127874702749.77,112530127541.38,100.00
