Date,Time (KST),Min from 18:00,Count %,Jung Won-oh (votes),Oh Se-hoon (votes),Margin (Oh − Jung),Leader,Type,Source
2026-06-03,22:10,250,6.96,236599.0,118079.0,-118520,Jung Won-oh,Reported (news),Donga Ilbo (article 134044972)
2026-06-03,22:30,270,11.48,391197.0,,-194665,Jung Won-oh,Derived,"Daum news XrbjrRoMA4 (total 604,380; Jung 391,197 -> Oh derived)"
2026-06-03,23:20,320,20.02,670313.0,349432.0,-320881,Jung Won-oh,Reported (news),News wire
2026-06-03,23:25,325,19.26,646250.0,334323.0,-311927,Jung Won-oh,Reported (news),Donga Ilbo (article 134045218)
2026-06-04,01:10,430,33.84,1038881.0,688498.0,-350383,Jung Won-oh,Reported (news),News wire
2026-06-04,01:30,450,38.99,,,-326688,Jung Won-oh,Derived,"Daum news 20260604023939617 (Jung 56.67% vs Oh 40.68%, derived)"
2026-06-04,02:11,491,46.72,1345826.0,1035694.0,-310132,Jung Won-oh,Reported (news),News wire
2026-06-04,02:30,510,49.9,,,-295214,Jung Won-oh,Derived,"Hani (Jung 54.3% vs Oh 43.0%, derived)"
2026-06-04,02:54,534,52.6,1476326.0,1201880.0,-274446,Jung Won-oh,Reported (news),News wire
2026-06-04,03:00,540,,1529688.0,1276353.0,-253335,Jung Won-oh,Reported (news),News wire
2026-06-04,04:00,600,69.93,1844874.0,1717382.0,-127492,Jung Won-oh,Reported (news),News wire
2026-06-04,04:47,647,78.34,2037023.0,1951883.0,-85140,Jung Won-oh,Reported (news),News wire
2026-06-04,04:47:48,648,78.34,2037023.0,1951883.0,-85140,Jung Won-oh,Reported (NEC live),NEC live feed
2026-06-04,04:47:56,648,78.34,2037023.0,1951883.0,-85140,Jung Won-oh,Reported (NEC live),NEC live feed
2026-06-04,04:50:27,650,78.5,2040404.0,1956384.0,-84020,Jung Won-oh,Reported (NEC live),NEC live feed
2026-06-04,04:50:57,651,78.62,2042651.0,1960272.0,-82379,Jung Won-oh,Reported (NEC live),NEC live feed
2026-06-04,04:51:58,652,78.69,2044203.0,1962447.0,-81756,Jung Won-oh,Reported (NEC live),NEC live feed
2026-06-04,04:53:28,653,79.08,2052482.0,1973472.0,-79010,Jung Won-oh,Reported (NEC live),NEC live feed
2026-06-04,04:55:29,655,79.78,2065231.0,1996919.0,-68312,Jung Won-oh,Reported (NEC live),NEC live feed
2026-06-04,04:57:00,657,79.91,2067870.0,2000891.0,-66979,Jung Won-oh,Reported (NEC live),NEC live feed
2026-06-04,04:58:30,658,80.03,2071679.0,2003032.0,-68647,Jung Won-oh,Reported (NEC live),NEC live feed
2026-06-04,05:00:31,661,80.09,2073384.0,2004170.0,-69214,Jung Won-oh,Reported (NEC live),NEC live feed
2026-06-04,05:01:01,661,80.36,2078528.0,2012905.0,-65623,Jung Won-oh,Reported (NEC live),NEC live feed
2026-06-04,05:02:02,662,80.4,2079904.0,2013580.0,-66324,Jung Won-oh,Reported (NEC live),NEC live feed
2026-06-04,05:03:32,664,80.49,2081896.0,2016288.0,-65608,Jung Won-oh,Reported (NEC live),NEC live feed
2026-06-04,05:04:31,665,80.77,2087147.0,2025280.0,-61867,Jung Won-oh,Reported (NEC live),NEC live feed
2026-06-04,05:05:31,666,80.87,2089147.0,2028396.0,-60751,Jung Won-oh,Reported (NEC live),NEC live feed
2026-06-04,05:08:02,668,81.22,2098213.0,2037191.0,-61022,Jung Won-oh,Reported (NEC live),NEC live feed
2026-06-04,05:09:33,670,81.31,2100112.0,2039833.0,-60279,Jung Won-oh,Reported (NEC live),NEC live feed
2026-06-04,05:11:04,671,81.44,2101333.0,2045096.0,-56237,Jung Won-oh,Reported (NEC live),NEC live feed
2026-06-04,05:11:34,672,81.54,2103629.0,2048116.0,-55513,Jung Won-oh,Reported (NEC live),NEC live feed
2026-06-04,05:12:34,673,81.89,2111867.0,2057512.0,-54355,Jung Won-oh,Reported (NEC live),NEC live feed
2026-06-04,05:13:04,673,82.33,2122472.0,2069461.0,-53011,Jung Won-oh,Reported (NEC live),NEC live feed
2026-06-04,05:14:05,674,82.43,2124793.0,2072332.0,-52461,Jung Won-oh,Reported (NEC live),NEC live feed
2026-06-04,05:14:35,675,82.56,2127575.0,2075870.0,-51705,Jung Won-oh,Reported (NEC live),NEC live feed
2026-06-04,05:15:05,675,82.72,2131310.0,2080621.0,-50689,Jung Won-oh,Reported (NEC live),NEC live feed
2026-06-04,05:16:06,676,82.78,2133196.0,2081707.0,-51489,Jung Won-oh,Reported (NEC live),NEC live feed
2026-06-04,05:17:06,677,82.87,2135284.0,2084005.0,-51279,Jung Won-oh,Reported (NEC live),NEC live feed
2026-06-04,05:20:08,680,83.25,2143802.0,2095065.0,-48737,Jung Won-oh,Reported (NEC live),NEC live feed
