date,annualized_pct
2026-05-22,10.9
2026-05-23,10.9
2026-05-24,10.9
2026-05-25,10.9
2026-05-26,10.9
2026-05-27,10.9
2026-05-28,10.9
2026-05-29,10.9
2026-05-30,10.9
2026-05-31,10.9
2026-06-01,10.9
2026-06-02,10.9
2026-06-03,10.9
2026-06-04,10.9
2026-06-05,10.9
2026-06-06,10.9
2026-06-07,10.9
2026-06-08,10.9
2026-06-09,10.9
2026-06-10,10.9
2026-06-11,10.9
2026-06-12,10.9
2026-06-13,10.9
2026-06-14,10.9
2026-06-15,11.2
2026-06-16,4.0
2026-06-17,-20.0
2026-06-18,-35.0
2026-06-19,0.0
2026-06-20,36.0
2026-06-21,20.0
2026-06-22,-28.0
2026-06-23,-13.0
2026-06-24,38.0
2026-06-25,55.0
2026-06-26,52.0
2026-06-27,30.0
2026-06-28,9.0
2026-06-29,-5.0
2026-06-30,36.0
2026-07-01,25.0
2026-07-02,18.0
2026-07-03,11.0
2026-07-04,2.0
2026-07-05,10.0
2026-07-06,6.0
2026-07-07,3.0
2026-07-08,18.0
2026-07-09,9.0
2026-07-10,2.0
2026-07-11,11.0
2026-07-12,20.0
2026-07-13,10.0
2026-07-14,16.0
2026-07-15,16.0
