month,stablecoin_mcap_usd,RedotPay,Other Rain,Other Wirex,EtherFi,Others
2025-09,290944000849.0,280425636.0,50199999.0,2409200.0,24058469.0,45990999.0
2025-10,298258227817.0,291960947.0,60535386.0,5456139.0,33491821.0,72124969.0
2025-11,299512986546.0,274969644.0,65404972.0,5410376.0,36842833.0,98206753.0
2025-12,299417369664.0,282237053.0,68212154.0,6124143.0,55810513.0,108812577.0
2026-01,293956510049.0,282423100.0,97670333.0,7012445.0,54292869.0,133028082.0
2026-02,296266219057.0,269476972.0,95565915.0,69830485.0,53191660.0,127214727.0
2026-03,301580461359.0,309469446.0,102353185.0,105363649.0,62595772.0,155540569.0
2026-04,302221812241.0,315704383.0,106101800.0,109779259.0,65674917.0,171171120.0
2026-05,302430586290.0,339656145.0,109897650.0,124871400.0,80404913.0,205972731.0
2026-06,295625602623.0,356937816.0,125631543.0,122886663.0,83437077.0,201351339.0
2026-07,295598080946.0,395132531.0,138995869.0,135110613.0,100296604.0,268834830.0
2026-08,302916196521.0,403579822.0,158830665.0,161932364.0,109534412.0,281378491.0
