date,total,weekly_change
2026-06-29,310252129042.0,-2612793350.0
2026-07-06,309508945312.0,-743183730.0
2026-07-13,309277318391.0,-231626921.0
2026-07-20,307939739858.0,-1337578533.0
2026-07-27,307824354205.0,-115385653.0
2026-08-03,305201591093.0,-2622763112.0
2026-08-10,306077939952.0,876348859.0
2026-08-17,306163526363.0,85586411.0
2026-08-24,308386900230.0,2223373867.0
2026-08-31,308837981914.0,451081684.0
2026-09-07,310455695432.0,1617713518.0
2026-09-14,310099755482.0,-355939950.0
2026-09-21,309997970535.92,-101784946.08001709
