date,total_value_usd
2026-05-13,200172.09600000002
2026-05-14,202189.78902939218
2026-05-15,202242.3025223789
2026-05-16,202242.3025223789
2026-05-17,202242.3025223789
2026-05-18,202261.02776298305
2026-05-19,202279.74896362162
2026-05-20,200296.96800000002
2026-05-21,1200395.7018602402
2026-05-22,1200798.5954564754
2026-05-23,1200798.5954564754
2026-05-24,1200798.5954564754
2026-05-25,1200798.5954564754
2026-05-26,1200903.3099183482
2026-05-27,11201873.61668745
2026-05-28,11202838.669491325
2026-05-29,11205747.913001215
2026-05-30,11205747.913001215
2026-05-31,11205747.913001215
2026-06-01,11206567.755149208
2026-06-02,11207689.19725838
2026-06-03,11208653.579343291
2026-06-04,9209444.771114461
2026-06-05,20214666.97485032
2026-06-06,20214666.97485032
2026-06-07,20214666.97485032
2026-06-08,20216414.69601416
2026-06-09,20218152.340372395
2026-06-10,20219879.90792503
2026-06-11,20221613.924633246
2026-06-12,20226891.953872148
2026-06-13,20226891.953872148
2026-06-14,20226891.953872148
2026-06-15,20228669.9054528
2026-06-16,20230420.448122203
2026-06-17,20232169.983111054
2026-06-18,20239148.977135796
2026-06-19,20239148.977135796
2026-06-20,20239148.977135796
2026-06-21,20239148.977135796
2026-06-22,50243474.29604856
2026-06-23,50247807.1189844
2026-06-24,50252152.44862542
2026-06-25,50256492.27531616
2026-06-26,50269506.252438106
2026-06-27,50269506.252438106
2026-06-28,50269506.252438106
2026-06-29,150282380.0326135
2026-06-30,200399657.86294883
2026-07-01,250321599.03518438
2026-07-02,200390400.3243646
2026-07-03,200390400.3243646
2026-07-04,200390400.3243646
2026-07-05,200390400.3243646
2026-07-06,200408437.22713333
2026-07-07,200425750.66076338
2026-07-08,200425750.66076338
2026-07-09,200443090.00375652
2026-07-10,200458452.26304287
2026-07-11,200458452.26304287
2026-07-12,200458452.26304287
2026-07-13,200458452.26304287
2026-07-14,200527700.0184793
2026-07-15,160544665.7874159
2026-07-16,160558980.65744373
2026-07-17,160571829.25846177
2026-07-18,160571829.25846177
2026-07-19,160571829.25846177
2026-07-20,160571829.25846177
2026-07-21,160627903.27842695
2026-07-22,160641439.54206005
2026-07-23,160655497.53579777
2026-07-24,160665778.9694201
2026-07-25,160665778.9694201
2026-07-26,160665778.9694201
2026-07-27,160665778.9694201
2026-07-28,160722904.42711917
2026-07-29,160739502.46466923
2026-07-30,160753740.75046152
2026-07-31,160767843.41833666
2026-08-01,160767843.41833666
2026-08-02,160767843.41833666
2026-08-03,160767843.41833666
2026-08-04,160837951.499466
2026-08-05,160837951.499466
2026-08-06,160851920.14492893
2026-08-07,160865888.79039186
2026-08-08,160865888.79039186
2026-08-09,160865888.79039186
2026-08-10,160907619.2212409
2026-08-11,160921449.05777693
2026-08-12,160935463.97288218
2026-08-13,160949513.9890954
2026-08-14,160963496.9941025
2026-08-15,160963496.9941025
2026-08-16,160963496.9941025
2026-08-17,160963496.9941025
2026-08-18,161019103.53112987
2026-08-19,161072281.6764314
2026-08-20,161086217.0080065
2026-08-21,161100248.09311974
2026-08-22,161100248.09311974
2026-08-23,161100248.09311974
2026-08-24,161100248.09311974
2026-08-25,161156244.76218846
2026-08-26,151870098.35594034
2026-08-27,151883327.31213406
2026-08-28,152896279.56855065
2026-08-29,152896279.56855065
2026-08-30,152896279.56855065
2026-08-31,152896279.56855065
2026-09-01,152949026.0749279
2026-09-02,152959903.54708615
2026-09-03,152973499.6304323
2026-09-04,157988265.80645567
2026-09-05,157988265.80645567
2026-09-06,157988265.80645567
2026-09-07,157988265.80645567
2026-09-08,157988265.80645567
2026-09-09,158056371.75874645
2026-09-10,158069668.12153158
2026-09-11,158081429.44690132
2026-09-12,158081429.44690132
2026-09-13,158081429.44690132
2026-09-14,158081429.44690132
2026-09-15,158147467.31925264
2026-09-16,158147467.31925264
2026-09-17,158160512.01093403
2026-09-18,158175613.84033293
2026-09-19,158175613.84033293
2026-09-20,158175613.84033293
