Date,Others,Figure,Securitize,bStocks,Backed Finance (xStocks),Ondo
2025-09-01,0.061027,0.0,0.226602,0.0,0.056304,4.3e-05
2025-09-02,0.064991,0.0,0.222738,0.0,0.057573,0.00029
2025-09-03,0.064648,0.0,0.218605,0.0,0.058124,0.021389
2025-09-04,0.065157,0.0,0.218425,0.0,0.058625,0.037007
2025-09-05,0.065236,0.0,0.21591,0.0,0.06081,0.051789
2025-09-06,0.065236,0.0,0.21591,0.0,0.06081,0.051789
2025-09-07,0.06475,0.0,0.21591,0.0,0.06081,0.051789
2025-09-08,0.064783,0.0,0.236306,0.0,0.0623,0.067378
2025-09-09,0.065959,0.0,0.240349,0.0,0.06305,0.086198
2025-09-10,0.065546,0.0,0.246998,0.0,0.064237,0.105602
2025-09-11,0.065635,0.0,0.259307,0.0,0.067437,0.131093
2025-09-12,0.065477,0.0,0.254815,0.0,0.070122,0.148842
2025-09-13,0.065611,0.0,0.254815,0.0,0.070122,0.148842
2025-09-14,0.065423,0.0,0.254815,0.0,0.070122,0.148842
2025-09-15,0.065698,0.0,0.250502,0.0,0.072226,0.165636
2025-09-16,0.065179,0.0,0.266854,0.0,0.073736,0.177473
2025-09-17,0.065477,0.0,0.253736,0.0,0.074141,0.191129
2025-09-18,0.066291,0.0,0.262901,0.0,0.076095,0.20435
2025-09-19,0.066735,0.0,0.262182,0.0,0.079547,0.211715
2025-09-20,0.066814,0.0,0.262182,0.0,0.079547,0.211715
2025-09-21,0.066462,0.0,0.262182,0.0,0.079547,0.211715
2025-09-22,0.066385,0.0,0.266765,0.0,0.079554,0.222401
2025-09-23,0.065294,0.0,0.256522,0.0,0.079851,0.229132
2025-09-24,0.064204,0.0,0.28752,0.0,0.081039,0.233562
2025-09-25,0.064046,0.0,0.259667,0.0,0.079282,0.237527
2025-09-26,0.063976,0.0,0.256162,0.0,0.080838,0.24228
2025-09-27,0.064182,0.0,0.256162,0.0,0.080838,0.24228
2025-09-28,0.064938,0.0,0.256162,0.0,0.080838,0.24228
2025-09-29,0.065539,0.0,0.260116,0.0,0.083567,0.244526
2025-09-30,0.065876,0.0,0.249603,0.0,0.085793,0.245172
2025-10-01,0.067861,0.0,0.254365,0.0,0.087997,0.247516
2025-10-02,0.068167,0.0,0.277277,0.0,0.090708,0.248769
2025-10-03,0.068225,0.0,0.270089,0.0,0.092848,0.249139
2025-10-04,0.068281,0.0,0.270089,0.0,0.092848,0.249139
2025-10-05,0.068345,0.0,0.270089,0.0,0.092848,0.249139
2025-10-06,0.067137,0.0,0.284824,0.0,0.094711,0.250619
2025-10-07,0.066847,0.0,0.266944,0.0,0.093075,0.249881
2025-10-08,0.066798,0.0,0.270179,0.0,0.096212,0.252378
2025-10-09,0.066012,0.0,0.266585,0.0,0.095343,0.252988
2025-10-10,0.064628,0.0,0.256072,0.0,0.092035,0.2447
2025-10-11,0.064631,0.0,0.256072,0.0,0.092034,0.2447
2025-10-12,0.065055,0.0,0.256072,0.0,0.092044,0.2447
2025-10-13,0.065003,0.0,0.25733,0.0,0.096048,0.251598
2025-10-14,0.064415,0.0,0.249693,0.0,0.095055,0.250607
2025-10-15,0.064526,0.0,0.246818,0.0,0.097023,0.251617
2025-10-16,0.069567,0.0,0.226242,0.0,0.098139,0.248938
2025-10-17,0.06915,0.0,0.223367,0.0,0.104817,0.250927
2025-10-18,0.069164,0.0,0.223367,0.0,0.104817,0.250927
2025-10-19,0.069723,0.0,0.223367,0.0,0.104817,0.250927
2025-10-20,0.069868,0.0,0.234778,0.0,0.107634,0.25235
2025-10-21,0.068984,0.0,0.22175,0.0,0.10839,0.251762
2025-10-22,0.067881,0.0,0.209171,0.0,0.110452,0.249045
2025-10-23,0.070244,0.0,0.21564,0.0,0.11408,0.252347
2025-10-24,0.071909,0.0,0.228489,0.0,0.116071,0.253932
2025-10-25,0.071909,0.0,0.228489,0.0,0.116071,0.253932
2025-10-26,0.072363,0.0,0.228489,0.0,0.116071,0.253932
2025-10-27,0.071969,0.0,0.23379,0.0,0.121123,0.257637
2025-10-28,0.071411,0.0,0.224715,0.0,0.123131,0.257783
2025-10-29,0.070613,0.0,0.22166,0.0,0.129769,0.256607
2025-10-30,0.070787,0.0,0.213214,0.0,0.127986,0.25657
2025-10-31,0.071246,0.0,0.220043,0.0,0.13289,0.256177
2025-11-01,0.071283,0.0,0.220043,0.0,0.132893,0.256177
2025-11-02,0.071018,0.0,0.220043,0.0,0.132893,0.256177
2025-11-03,0.064776,0.0,0.226332,0.0,0.133356,0.256578
2025-11-04,0.063896,0.0,0.207823,0.0,0.130414,0.25229
2025-11-05,0.063019,0.0,0.208811,0.0,0.132784,0.256261
2025-11-06,0.062703,0.0,0.192728,0.0,0.129416,0.255576
2025-11-07,0.063149,0.0,0.194256,0.0,0.131709,0.256204
2025-11-08,0.063157,0.0,0.194256,0.0,0.131776,0.2564
2025-11-09,0.063082,0.0,0.194256,0.0,0.131776,0.2564
2025-11-10,0.063408,0.0,0.196412,0.0,0.136598,0.259851
2025-11-11,0.062899,0.0,0.191291,0.0,0.135377,0.260115
2025-11-12,0.061879,0.0,0.178891,0.0,0.135101,0.259721
2025-11-13,0.060412,0.0,0.163078,0.0,0.134402,0.257694
2025-11-14,0.06044,0.0,0.15544,0.0,0.137494,0.259406
2025-11-15,0.060459,0.0,0.15544,0.0,0.137598,0.259497
2025-11-16,0.060181,0.0,0.15544,0.0,0.137598,0.259497
2025-11-17,0.060158,0.0,0.14367,0.0,0.140039,0.257922
2025-11-18,0.05895,0.0,0.140615,0.0,0.141205,0.256222
2025-11-19,0.058709,0.0,0.130103,0.0,0.144583,0.258452
2025-11-20,0.057841,0.0,0.127497,0.0,0.142651,0.251077
2025-11-21,0.058029,0.0,0.13163,0.0,0.144978,0.254511
2025-11-22,0.05801,0.0,0.13163,0.0,0.145075,0.254661
2025-11-23,0.058597,0.0,0.13163,0.0,0.145075,0.254661
2025-11-24,0.059601,0.0,0.136392,0.0,0.15233,0.259881
2025-11-25,0.059781,0.0,0.13163,0.0,0.154162,0.26359
2025-11-26,0.060471,0.0,0.159843,0.0,0.162248,0.267805
2025-11-27,0.060822,0.0,0.159843,0.0,0.16234,0.267756
2025-11-28,0.061443,0.0,0.148432,0.0,0.166848,0.270767
2025-11-29,0.061474,0.0,0.148432,0.0,0.166847,0.270767
2025-11-30,0.060941,0.0,0.148432,0.0,0.166847,0.270767
2025-12-01,0.060951,0.0,0.132978,0.0,0.170502,0.276991
2025-12-02,0.061597,0.0,0.130103,0.0,0.171936,0.282171
2025-12-03,0.062396,0.0,0.128755,0.0,0.179576,0.285821
2025-12-04,0.062272,0.0,0.138549,0.0,0.181241,0.28718
2025-12-05,0.062061,0.0,0.131271,0.0,0.179833,0.287849
2025-12-06,0.062047,0.0,0.131271,0.0,0.179954,0.28789
2025-12-07,0.062375,0.0,0.131271,0.0,0.179954,0.28789
2025-12-08,0.063348,0.0,0.133337,0.0,0.179365,0.29031
2025-12-09,0.063965,0.0,0.137291,0.0,0.182393,0.291174
2025-12-10,0.063257,0.0,0.141334,0.0,0.183328,0.29545
2025-12-11,0.06066,0.0,0.149061,0.0,0.180902,0.298346
2025-12-12,0.059781,0.0,0.136842,0.0,0.180224,0.301051
2025-12-13,0.059777,0.0,0.136842,0.0,0.180313,0.301102
2025-12-14,0.059093,0.0,0.136842,0.0,0.180313,0.301102
2025-12-15,0.058719,0.0,0.121837,0.0,0.178967,0.292095
2025-12-16,0.058388,0.0,0.129654,0.0,0.183386,0.29895
2025-12-17,0.055221,0.0,0.130642,0.0,0.177537,0.296278
2025-12-18,0.056099,0.0,0.136662,0.0,0.180783,0.302019
2025-12-19,0.056893,0.0,0.139357,0.0,0.18409,0.307988
2025-12-20,0.057059,0.0,0.139357,0.0,0.184131,0.307857
2025-12-21,0.057086,0.0,0.139357,0.0,0.184126,0.307857
2025-12-22,0.057368,0.0,0.141693,0.0,0.186713,0.313218
2025-12-23,0.05747,0.0,0.141693,0.0,0.186547,0.314987
2025-12-24,0.057471,0.0,0.136392,0.0,0.18699,0.311196
2025-12-25,0.057325,0.0,0.136392,0.0,0.186941,0.311196
2025-12-26,0.05682,0.0,0.135494,0.0,0.185933,0.311315
2025-12-27,0.05683,0.0,0.135494,0.0,0.185942,0.311322
2025-12-28,0.056567,0.0,0.135494,0.0,0.185927,0.311322
2025-12-29,0.065898,0.0,0.134326,0.0,0.184128,0.310525
2025-12-30,0.065736,0.0,0.132798,0.0,0.183751,0.310739
2025-12-31,0.065469,0.0,0.132888,0.0,0.18336,0.310608
2026-01-01,0.065749,0.0,0.132888,0.0,0.183395,0.3105
2026-01-02,0.067891,0.0,0.136572,0.0,0.17856,0.314998
2026-01-03,0.067906,0.0,0.136572,0.0,0.180328,0.314969
2026-01-04,0.068723,0.0,0.136572,0.0,0.180328,0.314969
2026-01-05,0.08599,0.0,0.140795,0.0,0.184766,0.320056
2026-01-06,0.086885,0.0,0.143041,0.0,0.183957,0.326244
2026-01-07,0.086731,0.0,0.145827,0.0,0.184905,0.332459
2026-01-08,0.086737,0.0,0.144389,0.0,0.187456,0.335704
2026-01-09,0.085817,0.0,0.146815,0.0,0.189712,0.340989
2026-01-10,0.085802,0.0,0.146815,0.0,0.189777,0.341032
2026-01-11,0.086158,0.0,0.146815,0.0,0.189771,0.341032
2026-01-12,0.087696,0.0,0.163976,0.0,0.193852,0.351406
2026-01-13,0.102752,0.0,0.162628,0.0,0.198617,0.370331
2026-01-14,0.104906,0.0,0.165324,0.0,0.200359,0.374031
2026-01-15,0.102324,0.0,0.146635,0.0,0.19745,0.376274
2026-01-16,0.104131,0.0,0.149151,0.0,0.199866,0.380493
2026-01-17,0.104181,0.0,0.149151,0.0,0.199979,0.380423
2026-01-18,0.104162,0.0,0.149151,0.0,0.19996,0.380423
2026-01-19,0.104146,0.0,0.149151,0.0,0.199963,0.380423
2026-01-20,0.096735,0.0,0.148073,0.0,0.193505,0.382942
2026-01-21,0.097716,0.0,0.141334,0.0,0.198177,0.405801
2026-01-22,0.098696,0.0,0.141514,0.0,0.200581,0.41304
2026-01-23,0.099135,0.0,0.134685,0.0,0.201511,0.413925
2026-01-24,0.099115,0.0,0.134685,0.0,0.201542,0.413951
2026-01-25,0.099125,0.0,0.134685,0.0,0.201544,0.413951
2026-01-26,0.095899,0.0,0.132259,0.0,0.199976,0.418039
2026-01-27,0.095999,0.0,0.139088,0.0,0.200209,0.423606
2026-01-28,0.095365,0.0,0.128755,0.0,0.201909,0.441168
2026-01-29,0.093219,0.0,0.12561,0.0,0.201255,0.455739
2026-01-30,0.091006,0.0,0.117614,0.0,0.203435,0.454617
2026-01-31,0.090959,0.0,0.117614,0.0,0.203551,0.454651
2026-02-01,0.090724,0.0,0.117614,0.0,0.203551,0.454651
2026-02-02,0.087299,0.0,0.100452,0.0,0.20031,0.462352
2026-02-03,0.085911,0.0,0.094073,0.0,0.202495,0.4548
2026-02-04,0.083627,0.0,0.09614,0.0,0.200276,0.447836
2026-02-05,0.079218,0.0,0.084639,0.0,0.192976,0.435452
2026-02-06,0.082344,0.0,0.094882,0.0,0.203735,0.45498
2026-02-07,0.08449,0.0,0.094882,0.0,0.203829,0.455177
2026-02-08,0.084464,0.0,0.094882,0.0,0.203828,0.455177
2026-02-09,0.086293,0.0,0.096499,0.0,0.20791,0.455721
2026-02-10,0.084967,0.0,0.097577,0.0,0.209408,0.460888
