ts,close,high,low,base_volume
2026-05-13 00:00,297.32,299.15,294.25,157.18
2026-05-13 01:00,297.59,297.83,294.64,96.37
2026-05-13 02:00,298.0,298.0,296.39,87.73
2026-05-13 03:00,300.99,301.0,297.99,433.38
2026-05-13 04:00,303.8,304.0,300.73,811.87
2026-05-13 05:00,309.49,310.0,300.73,802.58
2026-05-13 06:00,311.08,311.08,308.88,914.38
2026-05-13 07:00,312.68,312.7,309.0,418.74
2026-05-13 08:00,314.33,314.34,309.04,622.05
2026-05-13 09:00,312.0,320.0,305.67,1656.11
2026-05-13 10:00,307.0,314.6,301.92,507.3
2026-05-13 11:00,311.78,314.6,307.0,113.43
2026-05-13 12:00,302.85,314.5,300.0,1205.8
2026-05-13 13:00,297.02,308.5,295.0,736.77
2026-05-13 14:00,303.86,304.1,296.68,1292.16
2026-05-13 15:00,308.16,323.18,300.31,2789.39
2026-05-13 16:00,305.08,321.0,301.88,1061.42
2026-05-13 17:00,306.49,309.14,302.0,222.59
2026-05-13 18:00,310.5,314.8,305.0,562.99
2026-05-13 19:00,309.9,319.0,300.0,1572.5
2026-05-13 20:00,288.61,309.98,285.0,5647.42
2026-05-13 21:00,285.0,294.45,281.71,3831.65
2026-05-13 22:00,288.15,297.2,282.2,2960.71
2026-05-13 23:00,289.0,298.45,285.0,3601.83
2026-05-14 00:00,293.45,295.89,287.0,2060.29
2026-05-14 01:00,289.1,295.92,285.0,2283.43
2026-05-14 02:00,293.28,297.0,287.8,3080.61
2026-05-14 03:00,289.12,294.69,289.0,1733.13
2026-05-14 04:00,288.63,291.0,284.0,1971.55
2026-05-14 05:00,292.76,294.25,285.35,1083.32
2026-05-14 06:00,292.1,299.42,292.0,3422.15
2026-05-14 07:00,298.89,302.67,287.9,5817.31
2026-05-14 08:00,299.09,303.38,295.0,5982.49
2026-05-14 09:00,291.6,303.03,288.09,4625.51
2026-05-14 10:00,288.3,299.0,288.22,4271.17
2026-05-14 11:00,284.01,293.09,281.1,8933.55
2026-05-14 12:00,290.4,297.45,281.1,9821.94
2026-05-14 13:00,298.13,303.24,278.85,22397.79
2026-05-14 14:00,369.85,392.42,289.78,238777.37
2026-05-14 15:00,342.16,373.55,331.11,88915.97
2026-05-14 16:00,376.73,376.73,338.0,60475.08
2026-05-14 17:00,304.09,389.0,303.13,226737.07
2026-05-14 18:00,318.4,327.1,301.11,76360.06
2026-05-14 19:00,312.02,329.99,306.9,28512.74
2026-05-14 20:00,320.65,323.65,306.63,10897.49
2026-05-14 21:00,325.08,327.5,319.84,10527.38
2026-05-14 22:00,333.54,335.0,323.13,10251.3
2026-05-14 23:00,329.4,333.73,325.64,5196.78
2026-05-15 00:00,330.51,338.0,328.07,5601.18
2026-05-15 01:00,322.0,331.7,322.0,8726.73
