ts,close,high,low,base_volume
2026-06-11 00:00,90.663,91.092,90.284,382481.057
2026-06-11 01:00,90.012,90.699,89.547,257494.321
2026-06-11 02:00,89.901,90.287,89.767,83999.309
2026-06-11 03:00,90.158,90.455,89.891,66413.966
2026-06-11 04:00,89.471,90.287,89.29,141649.319
2026-06-11 05:00,89.035,89.512,88.733,134156.007
2026-06-11 06:00,88.847,89.37,88.801,76923.096
2026-06-11 07:00,88.3,88.914,87.92,183533.66
2026-06-11 08:00,87.683,88.351,87.312,175783.461
2026-06-11 09:00,87.822,88.3,87.6,114910.23
2026-06-11 10:00,87.496,87.994,87.324,247618.033
2026-06-11 11:00,87.624,87.896,87.23,168803.738
2026-06-11 12:00,88.637,89.95,87.51,893337.964
2026-06-11 13:00,87.922,89.219,87.693,304711.499
2026-06-11 14:00,88.559,88.873,87.922,190999.883
2026-06-11 15:00,89.278,89.561,88.459,213758.229
2026-06-11 16:00,89.29,89.796,89.099,242314.774
2026-06-11 17:00,85.97,89.352,85.03,1932794.514
2026-06-11 18:00,86.373,86.867,85.724,684158.418
2026-06-11 19:00,85.052,86.407,84.298,1002295.341
2026-06-11 20:00,85.016,85.169,84.338,239575.327
2026-06-11 21:00,85.339,85.528,85.006,170055.895
2026-06-11 22:00,84.54,85.339,83.729,329596.995
2026-06-11 23:00,84.67,84.788,84.297,88444.906
2026-06-12 00:00,85.228,85.313,84.636,83533.134
2026-06-12 01:00,85.302,85.48,85.118,105768.072
2026-06-12 02:00,85.251,85.424,85.009,99879.499
2026-06-12 03:00,84.774,85.493,84.76,95086.14
2026-06-12 04:00,84.61,84.884,84.6,40884.083
2026-06-12 05:00,84.56,84.668,84.211,88242.466
2026-06-12 06:00,84.52,84.641,84.216,94758.604
2026-06-12 07:00,83.589,84.776,83.334,195611.055
2026-06-12 08:00,82.391,83.641,81.722,564758.614
2026-06-12 09:00,82.655,82.707,82.026,171216.546
2026-06-12 10:00,83.119,83.8,82.51,873757.028
2026-06-12 11:00,83.358,83.625,82.54,348382.695
2026-06-12 12:00,83.6,84.059,83.221,223410.414
2026-06-12 13:00,85.462,85.541,83.455,715780.489
2026-06-12 14:00,83.506,85.677,83.318,722302.563
2026-06-12 15:00,82.95,83.595,82.659,832007.716
2026-06-12 16:00,83.336,83.48,82.683,379328.095
2026-06-12 17:00,83.385,83.519,83.004,170230.602
2026-06-12 18:00,82.919,83.544,82.805,157131.412
2026-06-12 19:00,82.819,83.142,82.768,173170.977
2026-06-12 20:00,82.885,83.025,82.757,94997.143
2026-06-12 21:00,82.937,83.234,82.849,78409.443
2026-06-12 22:00,82.288,83.034,80.74,237825.438
2026-06-12 23:00,82.203,82.418,82.07,84468.817
2026-06-13 00:00,82.357,82.556,81.494,79136.306
2026-06-13 01:00,82.463,82.745,82.108,66188.095
2026-06-13 02:00,82.3,82.667,81.943,28506.51
2026-06-13 03:00,82.05,82.343,81.879,15501.438
2026-06-13 04:00,82.182,82.33,81.883,10657.172
2026-06-13 05:00,81.966,82.27,81.872,21029.883
2026-06-13 06:00,81.802,82.054,81.14,47368.544
2026-06-13 07:00,81.809,82.022,81.441,54425.93
2026-06-13 08:00,81.853,81.912,81.731,8924.447
2026-06-13 09:00,81.69,81.952,81.655,25437.535
2026-06-13 10:00,81.79,81.933,81.619,20182.801
2026-06-13 11:00,81.43,81.789,81.307,22959.095
2026-06-13 12:00,81.249,81.534,80.826,37641.202
2026-06-13 13:00,81.441,81.56,80.984,35394.024
2026-06-13 14:00,81.194,81.612,80.925,41676.173
2026-06-13 15:00,81.176,81.277,81.071,22452.271
2026-06-13 16:00,81.183,81.667,80.34,108727.993
2026-06-13 17:00,80.633,81.372,80.633,52791.784
2026-06-13 18:00,80.824,80.976,80.438,41210.408
2026-06-13 19:00,80.986,81.156,80.653,27578.541
2026-06-13 20:00,81.136,81.282,80.944,9685.607
2026-06-13 21:00,81.27,81.473,80.988,33324.979
2026-06-13 22:00,81.244,81.44,81.221,23081.56
2026-06-13 23:00,81.202,81.386,81.11,6559.445
2026-06-14 00:00,81.166,81.307,81.166,6008.827
2026-06-14 01:00,81.267,81.29,81.035,6737.786
2026-06-14 02:00,81.249,81.272,81.132,9213.668
2026-06-14 03:00,81.121,81.267,81.068,6236.765
2026-06-14 04:00,81.137,81.158,81.051,9167.179
2026-06-14 05:00,81.103,81.167,81.049,9217.664
2026-06-14 06:00,81.06,81.145,80.868,7616.38
2026-06-14 07:00,80.519,81.071,80.235,66659.37
2026-06-14 08:00,80.715,80.773,80.334,63210.067
2026-06-14 09:00,80.724,81.011,80.508,62608.101
2026-06-14 10:00,81.146,81.198,80.586,74972.471
2026-06-14 11:00,81.02,81.198,80.911,27120.125
2026-06-14 12:00,81.739,81.756,80.873,89110.835
2026-06-14 13:00,81.786,81.978,81.267,120855.682
