date,liquidated_usd
2026-04-01,56805395.02
2026-04-02,59519178.62
2026-04-03,65982.27
2026-04-04,141985.2
2026-04-05,3427395.93
2026-04-06,11933099.46
2026-04-07,97329087.67
2026-04-08,12745229.22
2026-04-09,13345042.59
2026-04-10,8524207.21
2026-04-11,19259396.75
2026-04-12,10681564.25
2026-04-13,34614353.22
2026-04-14,54902365.8
2026-04-15,9337541.96
2026-04-16,6804865.41
2026-04-17,36940031.0
2026-04-18,1992676.85
2026-04-19,2070707.84
2026-04-20,6630442.07
2026-04-21,11089817.5
2026-04-22,11816067.45
2026-04-23,10017557.39
2026-04-24,11410845.5
2026-04-25,290688.12
2026-04-26,4223085.88
2026-04-27,3106199.28
2026-04-28,24663712.02
2026-04-29,49964620.98
2026-04-30,16400877.02
2026-05-01,18125344.19
2026-05-02,562924.59
2026-05-03,1287307.85
2026-05-04,47004983.08
2026-05-05,23558135.58
2026-05-06,41321897.65
2026-05-07,18350524.92
2026-05-08,18124952.51
2026-05-09,690100.33
2026-05-10,3247331.37
2026-05-11,20475069.69
2026-05-12,13800046.17
2026-05-13,10525737.25
2026-05-14,19198577.97
2026-05-15,24911101.38
2026-05-16,1757719.25
2026-05-17,2730752.03
2026-05-18,22282422.38
2026-05-19,11903790.89
2026-05-20,21143696.39
2026-05-21,11917244.49
2026-05-22,11138951.1
2026-05-23,43899143.18
2026-05-24,14760280.92
2026-05-25,4119973.86
2026-05-26,13715967.62
2026-05-27,24279862.49
2026-05-28,17686658.36
2026-05-29,7101053.95
2026-05-30,640523.83
2026-05-31,826972.61
2026-06-01,21262422.36
2026-06-02,17983690.39
2026-06-03,38901390.22
2026-06-04,19531290.24
2026-06-05,58245642.0
2026-06-06,22814512.28
2026-06-07,2280581.13
2026-06-08,30550779.2
2026-06-09,42452003.38
2026-06-10,23509186.88
2026-06-11,27327748.61
2026-06-12,21378566.03
2026-06-13,1088047.06
2026-06-14,9669174.87
2026-06-15,14052903.11
2026-06-16,57525016.23
2026-06-17,24731565.69
2026-06-18,37948733.13
2026-06-19,4492571.78
2026-06-20,2387627.86
2026-06-21,3004420.53
2026-06-22,46783789.92
2026-06-23,57599567.62
2026-06-24,47914592.5
2026-06-25,20510418.81
2026-06-26,18496996.81
2026-06-27,187702.02
2026-06-28,797958.9
2026-06-29,33773125.06
2026-06-30,12933575.38
