date,oi,avg_7d,avg_14d
2025-12-21,0.1748,0.1732,0.1696
2025-12-22,0.1915,0.1763,0.1697
2025-12-23,0.2078,0.1802,0.1722
2025-12-24,0.2063,0.1873,0.1743
2025-12-25,0.2073,0.1905,0.1771
2025-12-26,0.2148,0.1964,0.1818
2025-12-27,0.217,0.2028,0.1867
2025-12-28,0.2239,0.2098,0.1915
2025-12-29,0.2111,0.2126,0.1945
2025-12-30,0.2196,0.2143,0.1973
2025-12-31,0.2313,0.2179,0.2026
2026-01-01,0.227,0.2207,0.2056
2026-01-02,0.2212,0.2216,0.209
2026-01-03,0.2218,0.2223,0.2125
2026-01-04,0.2286,0.2229,0.2164
2026-01-05,0.24,0.2271,0.2198
2026-01-06,0.2581,0.2326,0.2234
2026-01-07,0.2742,0.2387,0.2283
2026-01-08,0.2785,0.2461,0.2334
2026-01-09,0.2852,0.2552,0.2384
2026-01-10,0.2888,0.2648,0.2435
2026-01-11,0.2928,0.2739,0.2484
2026-01-12,0.3183,0.2851,0.2561
2026-01-13,0.3256,0.2948,0.2637
2026-01-14,0.3381,0.3039,0.2713
2026-01-15,0.3336,0.3118,0.2789
2026-01-16,0.3616,0.3227,0.2889
2026-01-17,0.369,0.3341,0.2994
2026-01-18,0.3835,0.3471,0.3105
2026-01-19,0.4272,0.3627,0.3239
2026-01-20,0.4184,0.3759,0.3353
2026-01-21,0.4395,0.3904,0.3471
2026-01-22,0.4646,0.4091,0.3604
2026-01-23,0.54,0.4346,0.3786
2026-01-24,0.568,0.463,0.3986
2026-01-25,0.6589,0.5024,0.4247
2026-01-26,0.6509,0.5343,0.4485
2026-01-27,0.7235,0.5779,0.4769
2026-01-28,0.8267,0.6332,0.5118
2026-01-29,0.9237,0.6988,0.554
2026-01-30,0.7395,0.7273,0.581
2026-01-31,0.6974,0.7458,0.6044
2026-02-01,0.7051,0.7524,0.6274
2026-02-02,0.7754,0.7702,0.6523
2026-02-03,0.6882,0.7651,0.6715
2026-02-04,0.6329,0.7375,0.6853
2026-02-05,0.5198,0.6798,0.6893
2026-02-06,0.517,0.648,0.6876
2026-02-07,0.5283,0.6238,0.6848
2026-02-08,0.5524,0.602,0.6772
2026-02-09,0.6377,0.5823,0.6763
2026-02-10,0.6209,0.5727,0.6689
2026-02-11,0.6468,0.5747,0.6561
2026-02-12,0.5995,0.5861,0.6329
2026-02-13,0.5957,0.5973,0.6227
2026-02-14,0.5895,0.6061,0.6149
2026-02-15,0.6124,0.6146,0.6083
2026-02-16,0.6081,0.6104,0.5964
2026-02-17,0.6062,0.6083,0.5905
2026-02-18,0.672,0.6119,0.5933
2026-02-19,0.6845,0.6241,0.6051
2026-02-20,0.7137,0.6409,0.6191
2026-02-21,0.7172,0.6592,0.6326
2026-02-22,0.7587,0.6801,0.6474
2026-02-23,0.7568,0.7013,0.6559
2026-02-24,0.764,0.7238,0.6661
2026-02-25,0.78,0.7393,0.6756
2026-02-26,0.8008,0.7559,0.69
2026-02-27,0.866,0.7776,0.7093
2026-02-28,0.942,0.8098,0.7345
2026-03-01,0.9754,0.8407,0.7604
2026-03-02,0.8979,0.8609,0.7811
2026-03-03,0.8042,0.8666,0.7952
2026-03-04,0.7916,0.8683,0.8038
2026-03-05,0.8202,0.871,0.8135
2026-03-06,0.8902,0.8745,0.8261
2026-03-07,0.9645,0.8777,0.8437
2026-03-08,1.039,0.8868,0.8638
2026-03-09,1.0264,0.9052,0.883
2026-03-10,1.0663,0.9426,0.9046
2026-03-11,1.167,0.9962,0.9322
2026-03-12,1.2427,1.0566,0.9638
2026-03-13,1.2034,1.1013,0.9879
2026-03-14,1.2535,1.1426,1.0102
2026-03-15,1.2241,1.1691,1.0279
2026-03-16,1.1276,1.1835,1.0443
2026-03-17,1.1756,1.1991,1.0709
2026-03-18,1.3033,1.2186,1.1074
2026-03-19,1.373,1.2372,1.1469
2026-03-20,1.4659,1.2747,1.188
2026-03-21,1.4799,1.307,1.2248
2026-03-22,1.5686,1.3563,1.2627
2026-03-23,1.4276,1.3991,1.2913
2026-03-24,1.4463,1.4378,1.3185
2026-03-25,1.4246,1.4551,1.3369
2026-03-26,1.5315,1.4778,1.3575
2026-03-27,1.6321,1.5015,1.3881
2026-03-28,1.6438,1.5249,1.416
2026-03-29,1.7012,1.5439,1.4501
2026-03-30,1.7958,1.5965,1.4978
2026-03-31,1.9361,1.6664,1.5521
2026-04-01,2.0253,1.7523,1.6037
2026-04-02,2.1452,1.8399,1.6589
2026-04-03,2.1808,1.9183,1.7099
2026-04-04,2.2228,2.001,1.763
2026-04-05,2.1846,2.0701,1.807
2026-04-06,2.2071,2.1289,1.8627
2026-04-07,1.8534,2.117,1.8917
2026-04-08,1.7131,2.0724,1.9124
2026-04-09,1.7438,2.0151,1.9275
2026-04-10,1.8573,1.9689,1.9436
2026-04-11,1.8473,1.9152,1.9581
2026-04-12,2.0931,1.9022,1.9861
2026-04-13,1.8845,1.8561,1.9925
2026-04-14,1.898,1.8625,1.9897
2026-04-15,1.9081,1.8903,1.9814
2026-04-16,1.7787,1.8953,1.9552
2026-04-17,1.7693,1.8827,1.9258
2026-04-18,1.8358,1.8811,1.8982
2026-04-19,1.8935,1.8526,1.8774
2026-04-20,1.826,1.8442,1.8501
2026-04-21,1.7542,1.8236,1.8431
2026-04-22,1.757,1.8021,1.8462
2026-04-23,1.7594,1.7993,1.8473
2026-04-24,1.8826,1.8155,1.8491
2026-04-25,1.9484,1.8316,1.8563
2026-04-26,1.9058,1.8333,1.8429
2026-04-27,2.0036,1.8587,1.8515
2026-04-28,1.9117,1.8812,1.8524
2026-04-29,2.1491,1.9372,1.8697
2026-04-30,2.1086,1.9871,1.8932
2026-05-01,2.1595,2.0267,1.9211
2026-05-02,2.1719,2.0586,1.9451
2026-05-03,2.1796,2.0977,1.9655
2026-05-04,2.1896,2.1243,1.9915
2026-05-05,2.2586,2.1739,2.0275
2026-05-06,2.2077,2.1822,2.0597
2026-05-07,2.1331,2.1857,2.0864
2026-05-08,2.2058,2.1923,2.1095
2026-05-09,2.2207,2.1993,2.129
2026-05-10,2.3031,2.2169,2.1573
2026-05-11,2.3712,2.2429,2.1836
2026-05-12,2.3348,2.2538,2.2138
2026-05-13,2.4444,2.2876,2.2349
2026-05-14,2.5085,2.3412,2.2635
2026-05-15,2.3294,2.3589,2.2756
2026-05-16,2.3278,2.3742,2.2867
2026-05-17,2.3753,2.3845,2.3007
2026-05-18,2.3749,2.385,2.3139
2026-05-19,2.3955,2.3937,2.3237
2026-05-20,2.4145,2.3894,2.3385
2026-05-21,2.4889,2.3866,2.3639
2026-05-22,2.4799,2.4081,2.3835
2026-05-23,2.4508,2.4257,2.3999
2026-05-24,2.4216,2.4323,2.4084
2026-05-25,2.4393,2.4415,2.4133
2026-05-26,2.5349,2.4614,2.4275
2026-05-27,2.6732,2.4984,2.4439
2026-05-28,2.7418,2.5345,2.4606
2026-05-29,2.73,2.5702,2.4892
2026-05-30,2.7511,2.6131,2.5194
2026-05-31,2.8047,2.6679,2.5501
2026-06-01,2.9387,2.7392,2.5904
2026-06-02,3.0947,2.8192,2.6403
2026-06-03,2.9801,2.863,2.6807
2026-06-04,2.9034,2.8861,2.7103
2026-06-05,2.5315,2.8577,2.714
2026-06-06,2.5762,2.8328,2.7229
2026-06-07,2.7413,2.8237,2.7458
2026-06-08,2.8348,2.8089,2.774
2026-06-09,3.0618,2.8042,2.8117
2026-06-10,2.8275,2.7824,2.8227
2026-06-11,2.7835,2.7652,2.8257
2026-06-12,2.7783,2.8005,2.8291
2026-06-13,2.8013,2.8326,2.8327
2026-06-14,2.8814,2.8527,2.8382
2026-06-15,2.8622,2.8566,2.8327
2026-06-16,2.8543,2.8269,2.8156
