date,Commodities,Equity Indices,Equities,Pre-IPO & Specials,ETFs,FX
2026-04-01,2.010674,0.672965,0.267672,0.0,0.014701,0.025801
2026-04-02,2.668418,0.962167,0.290301,0.0,0.016562,0.025579
2026-04-03,0.247824,0.133088,0.032683,0.0,0.002489,0.009524
2026-04-04,0.120947,0.048059,0.015095,0.0,0.001692,0.008631
2026-04-05,0.516347,0.119245,0.035072,0.0,0.003411,0.005655
2026-04-06,1.754059,0.525032,0.179458,0.0,0.012227,0.019565
2026-04-07,3.797126,1.029825,0.232554,0.0,0.022932,0.016518
2026-04-08,3.356768,0.780981,0.326597,0.0,0.023673,0.012267
2026-04-09,2.280267,0.569772,0.24728,0.0,0.013961,0.003138
2026-04-10,1.191233,0.402629,0.230288,0.0,0.006338,0.003421
2026-04-11,0.347107,0.091528,0.044942,0.0,0.003121,0.009898
2026-04-12,1.358815,0.35096,0.094688,0.0,0.009636,0.014452
2026-04-13,1.702877,0.599826,0.188052,0.0,0.015853,0.012923
2026-04-14,1.402794,0.450249,0.237348,0.0,0.008114,0.006692
2026-04-15,1.12998,0.58616,0.208353,0.0,0.007525,0.008499
2026-04-16,0.8908,0.573893,0.195417,0.001194,0.007545,0.003823
2026-04-17,1.737121,0.572577,0.196028,0.00133,0.011526,0.009239
2026-04-18,0.451966,0.113314,0.059515,3.9e-05,0.001964,0.012891
2026-04-19,0.785804,0.154775,0.066041,5e-06,0.003228,0.014393
2026-04-20,1.297895,0.472366,0.179391,0.000502,0.007412,0.006007
2026-04-21,1.689502,0.504722,0.145678,0.000666,0.033344,0.0165
2026-04-22,1.146088,0.396518,0.145729,0.000302,0.006136,0.008268
2026-04-23,1.627163,0.638548,0.208252,0.000117,0.015294,0.008575
2026-04-24,1.31067,0.486783,0.241431,0.002304,0.008844,0.007107
2026-04-25,0.185906,0.070089,0.034802,1e-05,0.0013,0.000693
2026-04-26,0.279893,0.145182,0.077581,0.007774,0.003859,0.00271
2026-04-27,0.786059,0.419883,0.332209,0.000149,0.00683,0.006653
2026-04-28,1.504382,0.423759,0.303554,0.000198,0.008676,0.011084
2026-04-29,1.550478,0.665291,0.482331,0.000233,0.008291,0.010752
2026-04-30,1.466709,0.681315,0.476047,0.000101,0.007239,0.030715
2026-05-01,1.382253,0.394516,0.374844,0.003558,0.005834,0.015823
2026-05-02,0.088789,0.057346,0.037097,0.003242,0.000735,0.008674
2026-05-03,0.478049,0.099439,0.047527,0.002563,0.002762,0.011069
