ts,close,high,low,base_volume
2026-06-11 00:00,161.49,163.14,161.0,7556.04
2026-06-11 01:00,161.9,163.69,161.38,9718.05
2026-06-11 02:00,160.26,162.49,160.2,10929.26
2026-06-11 03:00,161.24,161.36,159.13,15436.72
2026-06-11 04:00,162.05,162.41,161.02,6877.79
2026-06-11 05:00,160.78,162.08,159.58,8635.67
2026-06-11 06:00,162.79,162.8,160.78,7714.91
2026-06-11 07:00,162.27,162.95,161.39,20421.58
2026-06-11 08:00,162.21,162.96,161.68,10402.64
2026-06-11 09:00,163.16,164.59,162.13,48073.85
2026-06-11 10:00,163.21,163.77,162.52,51472.87
2026-06-11 11:00,164.53,164.59,162.89,38246.91
2026-06-11 12:00,163.99,165.42,163.04,46719.53
2026-06-11 13:00,164.45,165.11,162.04,52087.63
2026-06-11 14:00,165.76,166.0,164.25,28457.4
2026-06-11 15:00,167.2,168.66,165.42,55854.62
2026-06-11 16:00,167.5,167.99,165.78,34639.3
2026-06-11 17:00,169.45,170.0,166.6,56182.81
2026-06-11 18:00,167.06,169.6,166.57,38420.12
2026-06-11 19:00,167.34,167.5,164.0,38843.18
2026-06-11 20:00,167.18,168.61,166.7,22741.04
2026-06-11 21:00,169.88,170.09,167.11,44568.55
2026-06-11 22:00,172.44,174.66,169.6,69702.3
2026-06-11 23:00,172.84,173.8,169.99,37221.08
2026-06-12 00:00,173.35,174.24,170.5,35057.08
2026-06-12 01:00,170.16,174.22,170.0,50731.55
2026-06-12 02:00,172.69,173.45,170.11,18821.09
2026-06-12 03:00,174.13,175.0,171.3,38693.03
2026-06-12 04:00,174.93,175.31,172.09,42637.33
2026-06-12 05:00,181.72,185.0,174.3,135272.89
2026-06-12 06:00,175.53,182.12,174.02,81693.43
2026-06-12 07:00,176.73,177.63,173.0,64064.88
2026-06-12 08:00,174.91,177.59,171.41,99077.31
2026-06-12 09:00,177.46,180.0,174.93,81534.55
2026-06-12 10:00,175.5,179.51,173.56,101782.65
2026-06-12 11:00,177.25,178.6,174.17,107804.32
2026-06-12 12:00,172.55,180.71,171.62,155877.91
2026-06-12 13:00,176.76,178.75,166.0,571672.37
2026-06-12 14:00,166.72,179.74,166.41,692932.66
2026-06-12 15:00,161.8,169.12,152.34,1690919.91
2026-06-12 16:00,173.55,173.89,155.38,1360626.9
2026-06-12 17:00,173.0,176.38,167.88,1015655.14
2026-06-12 18:00,168.78,173.0,164.96,639949.64
2026-06-12 19:00,161.43,169.02,157.83,827229.11
2026-06-12 20:00,163.4,164.64,160.58,183360.11
2026-06-12 21:00,165.49,166.6,162.72,109768.0
2026-06-12 22:00,167.32,167.87,164.53,72171.1
2026-06-12 23:00,166.72,167.78,166.35,49610.54
2026-06-13 00:00,165.1,166.79,163.63,61651.23
2026-06-13 01:00,164.91,165.46,164.03,21876.91
