order,first_trade_kst,ticker,name,korean_name,open,high_24h,close_24h,day_one_pump_pct,day_one_close_pct
1,2026-01-01T15:35:00,XAUT,Tether Gold,테더골드,6359000.0,6389000.0,6361000.0,0.47,0.03
2,2026-01-06T18:35:00,ZK,ZKsync,지케이싱크,43.9,62.4,50.7,42.14,15.49
3,2026-01-07T15:05:00,BREV,Brevis,브레비스,777.0,890.0,588.0,14.54,-24.32
4,2026-01-14T18:05:00,USDE,Ethena USDe,유에스디이,1469.0,1472.0,1468.0,0.2,-0.07
5,2026-01-22T16:35:00,ELSA,HeyElsa,헤이엘사,169.0,413.0,302.0,144.38,78.7
6,2026-01-29T17:35:00,SENT,Sentient,센티언트,44.5,62.3,56.7,40.0,27.42
7,2026-02-03T18:05:00,BIRB,Moonbirds,문버드,320.0,799.0,424.0,149.69,32.5
8,2026-02-16T16:05:00,TAO,Bittensor,비트텐서,299600.0,303900.0,289900.0,1.44,-3.24
9,2026-02-20T16:35:00,AZTEC,Aztec,아즈텍,25.2,60.8,53.9,141.27,113.89
10,2026-02-24T16:05:00,SKR,Seeker,시커,26.0,48.4,34.8,86.15,33.85
11,2026-02-24T17:05:00,ESP,Espresso,에스프레소,256.0,344.0,238.0,34.38,-7.03
12,2026-02-26T14:05:00,CFG,Centrifuge,센트리퓨즈,114.0,359.0,195.0,214.91,71.05
13,2026-03-04T17:05:00,EDGE,Definitive,디피니티브,131.0,432.0,257.0,229.77,96.18
14,2026-03-11T17:05:00,ICP,Internet Computer,인터넷컴퓨터,3884.0,4331.0,3787.0,11.51,-2.5
15,2026-03-19T12:35:00,ETHFI,Ether.fi,이더파이,730.0,912.0,785.0,24.93,7.53
16,2026-03-26T19:05:00,KAT,Katana,카타나,24.0,24.4,18.4,1.67,-23.33
17,2026-03-31T12:05:00,SKY,Sky Protocol,스카이프로토콜,120.0,126.0,113.0,5.0,-5.83
18,2026-03-31T13:05:00,USDS,USDS,유에스디에스,1528.0,2012.0,1511.0,31.68,-1.11
19,2026-04-14T19:05:00,ZAMA,Zama,자마,50.9,61.8,44.7,21.41,-12.18
20,2026-04-15T15:05:00,CC,Canton,캔톤,220.0,235.0,219.0,6.82,-0.45
21,2026-04-17T14:35:00,SOON,SOON,쑨,206.0,496.0,294.0,140.78,42.72
22,2026-04-20T16:05:00,PIEVERSE,Pieverse,파이버스,1400.0,1800.0,1575.0,28.57,12.5
23,2026-04-21T22:05:00,CHIP,USD.AI,유에스디에이아이,85.3,177.0,164.0,107.5,92.26
24,2026-04-23T12:05:00,SPK,Spark,스파크,80.0,95.3,74.4,19.12,-7.0
25,2026-04-27T16:05:00,XCN,Onyxcoin,오닉스코인,10.8,12.8,8.5,18.52,-21.3
26,2026-04-27T19:55:00,PRL,Perle,펄,442.0,602.0,578.0,36.2,30.77
27,2026-04-29T14:05:00,BLEND,Fluent,플루언트,123.0,370.0,234.0,200.81,90.24
28,2026-04-30T20:05:00,MEGA,MegaETH,메가이더,242.0,348.0,232.0,43.8,-4.13
29,2026-05-06T16:05:00,WIF,dogwifhat,도그위프햇,354.0,357.0,317.0,0.85,-10.45
30,2026-05-07T14:05:00,B3,B3,비쓰리,2.56,3.05,2.4,19.14,-6.25
31,2026-05-08T20:35:00,PROS,Pharos,파로스,811.0,1690.0,1492.0,108.38,83.97
