window,day,usd_b
2017-12,-77,0.0003
2017-12,-76,0.0002
2017-12,-75,0.0002
2017-12,-74,0.0001
2017-12,-73,0.0001
2017-12,-72,0.0001
2017-12,-71,0.0001
2017-12,-70,0.0001
2017-12,-69,0.0001
2017-12,-68,0.0001
2017-12,-67,0.0001
2017-12,-66,0.0001
2017-12,-65,0.0001
2017-12,-64,0.0001
2017-12,-63,0.0001
2017-12,-62,0.0001
2017-12,-61,0.0001
2017-12,-60,0.0001
2017-12,-59,0.0001
2017-12,-58,0.0001
2017-12,-57,0.0001
2017-12,-56,0.0001
2017-12,-55,0.0001
2017-12,-54,0.0002
2017-12,-53,0.0003
2017-12,-52,0.0006
2017-12,-51,0.0009
2017-12,-50,0.0013
2017-12,-49,0.0018
2017-12,-48,0.0023
2017-12,-47,0.0032
2017-12,-46,0.0043
2017-12,-45,0.0058
2017-12,-44,0.0065
2017-12,-43,0.0071
2017-12,-42,0.0076
2017-12,-41,0.0092
2017-12,-40,0.0104
2017-12,-39,0.0122
2017-12,-38,0.0137
2017-12,-37,0.0174
2017-12,-36,0.0227
2017-12,-35,0.0424
2017-12,-34,0.0595
2017-12,-33,0.0739
2017-12,-32,0.0874
2017-12,-31,0.1081
2017-12,-30,0.1338
2017-12,-29,0.1642
2017-12,-28,0.1675
2017-12,-27,0.1951
2017-12,-26,0.2206
2017-12,-25,0.263
2017-12,-24,0.3083
2017-12,-23,0.3564
2017-12,-22,0.3749
2017-12,-21,0.4263
2017-12,-20,0.4646
2017-12,-19,0.6088
2017-12,-18,0.796
2017-12,-17,0.9124
2017-12,-16,0.9858
2017-12,-15,1.0853
2017-12,-14,1.137
2017-12,-13,1.191
2017-12,-12,1.1466
2017-12,-11,1.1083
2017-12,-10,1.1978
2017-12,-9,1.4577
2017-12,-8,1.5257
2017-12,-7,1.6565
2017-12,-6,1.7298
2017-12,-5,1.8297
2017-12,-4,1.9197
2017-12,-3,2.1022
2017-12,-2,2.0917
2017-12,-1,2.3544
2017-12,0,2.6126
2017-12,1,3.0016
2017-12,2,3.5236
2017-12,3,3.8183
2017-12,4,3.9784
2017-12,5,4.4202
2017-12,6,4.5348
2017-12,7,4.3919
2017-12,8,4.0886
2017-12,9,3.635
2017-12,10,3.3246
2017-12,11,3.0385
2017-12,12,2.7632
2017-12,13,3.0664
2017-12,14,3.2075
2017-12,15,3.5049
2017-12,16,3.8532
2017-12,17,4.6513
2017-12,18,5.1035
2017-12,19,5.4624
2017-12,20,5.2084
2017-12,21,5.2871
2017-12,22,5.3456
2017-12,23,5.2578
2017-12,24,4.9994
2017-12,25,5.2649
2017-12,26,5.2274
2017-12,27,5.1546
2017-12,28,5.0962
2017-12,29,4.9395
2017-12,30,5.2231
2017-12,31,5.2238
2017-12,32,5.0448
2017-12,33,4.5673
2017-12,34,4.4517
2017-12,35,4.4335
2017-12,36,4.2799
2017-12,37,3.6833
2017-12,38,3.1825
2017-12,39,2.606
2017-12,40,2.5518
2017-12,41,2.2408
2017-12,42,1.9381
2017-12,43,1.7607
2017-12,44,1.705
2017-12,45,1.6221
2017-12,46,1.5729
2017-12,47,1.7118
2017-12,48,1.9606
2017-12,49,2.1149
2017-12,50,2.2177
2017-12,51,2.51
2017-12,52,2.5686
2017-12,53,2.5682
2017-12,54,2.347
2017-12,55,2.4279
2017-12,56,2.2758
2017-12,57,2.1617
2017-12,58,1.8109
2017-12,59,1.6852
2017-12,60,1.6078
2017-12,61,1.4498
2017-12,62,1.1543
2017-12,63,1.1301
2017-12,64,1.095
2017-12,65,1.1605
2017-12,66,1.1538
2017-12,67,1.1293
2017-12,68,1.1612
2017-12,69,1.099
2017-12,70,0.99
2017-12,71,0.9826
2017-12,72,0.8515
2017-12,73,0.7563
2017-12,74,0.6892
2017-12,75,0.6027
2017-12,76,0.5426
2017-12,77,0.5185
2017-12,78,0.4976
2017-12,79,0.4826
2017-12,80,0.5106
2021-04,-90,3.3328
2021-04,-89,3.1924
2021-04,-88,3.0464
2021-04,-87,2.6838
2021-04,-86,2.1976
2021-04,-85,2.1025
2021-04,-84,2.1554
2021-04,-83,2.2358
2021-04,-82,2.277
2021-04,-81,2.1779
2021-04,-80,2.1224
2021-04,-79,2.1684
2021-04,-78,2.0376
2021-04,-77,1.9267
2021-04,-76,1.7203
2021-04,-75,1.7667
2021-04,-74,2.0057
2021-04,-73,2.2234
2021-04,-72,2.8583
2021-04,-71,3.0234
2021-04,-70,3.1581
2021-04,-69,3.3371
2021-04,-68,3.2721
2021-04,-67,3.1504
2021-04,-66,3.116
2021-04,-65,2.6967
2021-04,-64,2.9117
2021-04,-63,3.2358
2021-04,-62,3.3809
2021-04,-61,3.5477
2021-04,-60,3.8563
2021-04,-59,4.0253
2021-04,-58,4.1046
2021-04,-57,3.9646
2021-04,-56,3.8826
2021-04,-55,4.3671
2021-04,-54,4.5932
2021-04,-53,4.8077
2021-04,-52,5.1301
2021-04,-51,5.982
2021-04,-50,6.702
2021-04,-49,7.0312
2021-04,-48,6.7311
2021-04,-47,6.5228
2021-04,-46,6.2955
2021-04,-45,5.9447
2021-04,-44,4.937
2021-04,-43,4.2059
2021-04,-42,4.1112
2021-04,-41,4.0646
2021-04,-40,4.0366
2021-04,-39,3.7489
2021-04,-38,3.4832
2021-04,-37,3.5994
2021-04,-36,4.0485
2021-04,-35,3.8727
2021-04,-34,3.9095
2021-04,-33,4.2872
2021-04,-32,5.3469
2021-04,-31,5.9902
2021-04,-30,6.8055
2021-04,-29,7.3816
2021-04,-28,7.8503
2021-04,-27,8.2135
2021-04,-26,8.4017
2021-04,-25,8.4888
2021-04,-24,8.431
2021-04,-23,8.356
2021-04,-22,8.3592
2021-04,-21,8.3714
2021-04,-20,8.1855
2021-04,-19,7.7263
2021-04,-18,7.0665
2021-04,-17,7.1953
2021-04,-16,7.0455
2021-04,-15,7.0339
2021-04,-14,7.3151
2021-04,-13,8.1146
2021-04,-12,9.5444
2021-04,-11,10.3904
2021-04,-10,10.587
2021-04,-9,11.7604
2021-04,-8,12.3897
2021-04,-7,13.555
2021-04,-6,13.2552
2021-04,-5,12.5405
2021-04,-4,12.5551
2021-04,-3,12.9661
2021-04,-2,11.9164
2021-04,-1,11.5879
2021-04,0,11.4233
2021-04,1,11.7454
2021-04,2,15.3691
2021-04,3,16.7099
2021-04,4,18.6235
2021-04,5,20.5443
2021-04,6,21.8441
2021-04,7,21.15
2021-04,8,21.8191
2021-04,9,19.653
2021-04,10,18.2027
2021-04,11,16.2781
2021-04,12,14.7397
2021-04,13,13.263
2021-04,14,13.478
2021-04,15,12.2127
2021-04,16,10.6345
2021-04,17,10.2344
2021-04,18,9.8732
2021-04,19,10.0006
2021-04,20,12.1903
2021-04,21,14.3386
2021-04,22,17.5636
2021-04,23,20.9053
2021-04,24,22.2084
2021-04,25,23.9862
2021-04,26,24.637
2021-04,27,23.5733
2021-04,28,21.8661
2021-04,29,20.1762
2021-04,30,17.8726
2021-04,31,17.49
2021-04,32,16.26
2021-04,33,16.269
2021-04,34,15.1911
2021-04,35,16.7168
2021-04,36,16.5984
2021-04,37,17.0234
2021-04,38,16.4859
2021-04,39,16.5544
2021-04,40,15.9402
2021-04,41,16.2339
2021-04,42,13.5825
2021-04,43,12.1456
2021-04,44,10.6944
2021-04,45,9.9268
2021-04,46,8.8378
2021-04,47,7.8704
2021-04,48,6.8324
2021-04,49,6.6779
2021-04,50,6.4819
2021-04,51,6.1354
2021-04,52,5.8495
2021-04,53,5.6852
2021-04,54,5.6107
2021-04,55,5.7032
2021-04,56,5.525
2021-04,57,5.2341
2021-04,58,5.0303
2021-04,59,4.929
2021-04,60,4.7237
2021-04,61,4.4893
2021-04,62,3.9181
2021-04,63,3.4384
2021-04,64,3.1364
2021-04,65,2.808
2021-04,66,2.6058
2021-04,67,2.6338
2021-04,68,2.8964
2021-04,69,3.5984
2021-04,70,3.949
2021-04,71,4.2558
2021-04,72,4.6066
2021-04,73,4.7815
2021-04,74,4.6639
2021-04,75,4.4785
2021-04,76,4.4017
2021-04,77,4.4549
2021-04,78,4.4211
2021-04,79,4.0935
2021-04,80,4.0615
2021-11,-90,6.9571
2021-11,-89,7.1968
2021-11,-88,7.4313
2021-11,-87,7.6431
2021-11,-86,7.8643
2021-11,-85,7.9529
2021-11,-84,7.6046
2021-11,-83,7.0595
2021-11,-82,7.0183
2021-11,-81,6.6526
2021-11,-80,6.2056
2021-11,-79,6.7622
2021-11,-78,6.8908
2021-11,-77,6.8816
2021-11,-76,6.9725
2021-11,-75,6.9208
2021-11,-74,6.9217
2021-11,-73,7.4731
2021-11,-72,6.8511
2021-11,-71,6.7684
2021-11,-70,6.8672
2021-11,-69,7.1247
2021-11,-68,8.115
2021-11,-67,9.2593
2021-11,-66,10.2149
2021-11,-65,10.7774
2021-11,-64,11.6016
2021-11,-63,11.9794
2021-11,-62,11.9242
2021-11,-61,11.3192
2021-11,-60,9.8397
2021-11,-59,8.3186
2021-11,-58,7.9187
2021-11,-57,6.6745
2021-11,-56,5.9405
2021-11,-55,5.5259
2021-11,-54,5.1053
2021-11,-53,4.9318
2021-11,-52,4.643
2021-11,-51,4.4763
2021-11,-50,4.4506
2021-11,-49,4.5388
2021-11,-48,4.5976
2021-11,-47,4.6638
2021-11,-46,4.6828
2021-11,-45,4.7693
2021-11,-44,4.2286
2021-11,-43,4.0507
2021-11,-42,3.6962
2021-11,-41,3.8365
2021-11,-40,3.8867
2021-11,-39,4.1322
2021-11,-38,4.4226
2021-11,-37,5.0112
2021-11,-36,5.9648
2021-11,-35,7.5198
2021-11,-34,7.8344
2021-11,-33,8.5069
2021-11,-32,9.0288
2021-11,-31,9.042
2021-11,-30,8.7785
2021-11,-29,7.8908
2021-11,-28,6.7747
2021-11,-27,6.3739
2021-11,-26,6.1027
2021-11,-25,5.3801
2021-11,-24,4.9555
2021-11,-23,4.8954
2021-11,-22,4.7851
2021-11,-21,4.7387
2021-11,-20,4.779
2021-11,-19,4.311
2021-11,-18,4.1917
2021-11,-17,4.2705
2021-11,-16,4.0748
2021-11,-15,4.0464
2021-11,-14,4.5464
2021-11,-13,4.8457
2021-11,-12,4.9241
2021-11,-11,6.4096
2021-11,-10,8.0434
2021-11,-9,8.9971
2021-11,-8,9.9904
2021-11,-7,9.9036
2021-11,-6,9.7338
2021-11,-5,9.5235
2021-11,-4,8.2206
2021-11,-3,6.5499
2021-11,-2,5.9406
2021-11,-1,5.282
2021-11,0,4.9658
2021-11,1,4.5534
2021-11,2,4.5952
2021-11,3,4.6857
2021-11,4,4.7234
2021-11,5,4.9292
2021-11,6,6.1359
2021-11,7,7.2028
2021-11,8,8.7919
2021-11,9,8.9277
2021-11,10,9.2077
2021-11,11,9.4723
2021-11,12,9.3072
2021-11,13,8.2251
2021-11,14,7.6487
2021-11,15,7.3317
2021-11,16,8.164
2021-11,17,8.0988
2021-11,18,8.2992
2021-11,19,8.3235
2021-11,20,8.1977
2021-11,21,7.5842
2021-11,22,6.6179
2021-11,23,5.6402
2021-11,24,6.4308
2021-11,25,6.2483
2021-11,26,6.5371
2021-11,27,6.567
2021-11,28,6.6481
2021-11,29,6.561
2021-11,30,6.3545
2021-11,31,4.9881
2021-11,32,4.5213
2021-11,33,3.8592
2021-11,34,3.6508
2021-11,35,3.4218
2021-11,36,3.1781
2021-11,37,3.1285
2021-11,38,3.1187
2021-11,39,3.1163
2021-11,40,3.023
2021-11,41,2.7517
2021-11,42,2.514
2021-11,43,2.6791
2021-11,44,2.8147
2021-11,45,2.9247
2021-11,46,3.0616
2021-11,47,3.0886
2021-11,48,3.296
2021-11,49,3.3723
2021-11,50,3.1117
2021-11,51,2.771
2021-11,52,2.538
2021-11,53,2.8427
2021-11,54,3.1264
2021-11,55,3.1212
2021-11,56,3.1794
2021-11,57,3.3204
2021-11,58,3.5352
2021-11,59,3.6475
2021-11,60,3.3254
2021-11,61,3.2199
2021-11,62,3.1047
2021-11,63,2.9497
2021-11,64,2.9537
2021-11,65,2.8987
2021-11,66,2.844
2021-11,67,2.7429
2021-11,68,2.4675
2021-11,69,2.3657
2021-11,70,2.2953
2021-11,71,2.1182
2021-11,72,2.1736
2021-11,73,2.5722
2021-11,74,2.6491
2021-11,75,2.8718
2021-11,76,2.8805
2021-11,77,3.2053
2021-11,78,3.3205
2021-11,79,3.1607
2021-11,80,2.8498
2025-10,-90,1.1922
2025-10,-89,1.1297
2025-10,-88,1.4694
2025-10,-87,2.1576
2025-10,-86,2.679
2025-10,-85,3.0405
2025-10,-84,3.539
2025-10,-83,3.9258
2025-10,-82,4.2206
2025-10,-81,4.4719
2025-10,-80,4.5432
2025-10,-79,4.3568
2025-10,-78,4.4971
2025-10,-77,4.5558
2025-10,-76,4.7271
2025-10,-75,5.232
2025-10,-74,5.3906
2025-10,-73,5.1306
2025-10,-72,5.0484
2025-10,-71,4.7901
2025-10,-70,4.6008
2025-10,-69,4.2845
2025-10,-68,3.6085
2025-10,-67,2.9262
2025-10,-66,2.6737
2025-10,-65,2.5875
2025-10,-64,2.4241
2025-10,-63,2.17
2025-10,-62,2.0686
2025-10,-61,1.9735
2025-10,-60,2.0025
2025-10,-59,2.0033
2025-10,-58,2.1598
2025-10,-57,2.4538
2025-10,-56,2.6795
2025-10,-55,2.9731
2025-10,-54,3.2686
2025-10,-53,3.7464
2025-10,-52,3.7005
2025-10,-51,3.4882
2025-10,-50,3.2354
2025-10,-49,3.1416
2025-10,-48,2.9884
2025-10,-47,2.8232
2025-10,-46,2.2609
2025-10,-45,2.5838
2025-10,-44,2.7153
2025-10,-43,2.8765
2025-10,-42,3.0051
2025-10,-41,2.9673
2025-10,-40,2.9762
2025-10,-39,3.2871
2025-10,-38,3.2304
2025-10,-37,3.222
2025-10,-36,3.0736
2025-10,-35,2.9985
2025-10,-34,2.9323
2025-10,-33,2.7917
2025-10,-32,2.4859
2025-10,-31,2.156
2025-10,-30,1.965
2025-10,-29,1.8996
2025-10,-28,1.7405
2025-10,-27,1.9176
2025-10,-26,2.0598
2025-10,-25,2.2066
2025-10,-24,2.2976
2025-10,-23,2.6004
2025-10,-22,2.755
2025-10,-21,2.9725
2025-10,-20,2.7634
2025-10,-19,2.7437
2025-10,-18,2.7295
2025-10,-17,2.6426
2025-10,-16,2.4496
2025-10,-15,2.6627
2025-10,-14,3.0456
2025-10,-13,3.2764
2025-10,-12,3.3245
2025-10,-11,3.5498
2025-10,-10,3.7731
2025-10,-9,3.7844
2025-10,-8,3.4861
2025-10,-7,3.0078
2025-10,-6,2.7837
2025-10,-5,2.8115
2025-10,-4,2.6844
2025-10,-3,2.5572
2025-10,-2,2.5819
2025-10,-1,2.669
2025-10,0,2.5731
2025-10,1,2.7584
2025-10,2,2.5987
2025-10,3,2.4405
2025-10,4,2.9973
2025-10,5,3.3682
2025-10,6,3.55
2025-10,7,3.6447
2025-10,8,3.6379
2025-10,9,3.6881
2025-10,10,3.7009
2025-10,11,3.2397
2025-10,12,2.8114
2025-10,13,2.5032
2025-10,14,2.367
2025-10,15,2.2675
2025-10,16,2.1931
2025-10,17,2.0282
2025-10,18,1.8327
2025-10,19,1.839
2025-10,20,1.9
2025-10,21,1.9352
2025-10,22,1.8612
2025-10,23,1.9013
2025-10,24,2.0708
2025-10,25,1.9466
2025-10,26,1.8791
2025-10,27,1.7586
2025-10,28,1.8872
2025-10,29,2.1849
2025-10,30,2.4107
2025-10,31,2.3292
2025-10,32,2.5554
2025-10,33,2.7024
2025-10,34,2.7752
2025-10,35,2.6769
2025-10,36,2.4099
2025-10,37,2.1466
2025-10,38,2.2145
2025-10,39,2.1952
2025-10,40,2.0334
2025-10,41,2.0342
2025-10,42,1.974
2025-10,43,1.9983
2025-10,44,2.0008
2025-10,45,1.9537
2025-10,46,2.1465
2025-10,47,2.3324
2025-10,48,2.3961
2025-10,49,2.4271
2025-10,50,2.3544
2025-10,51,2.3521
2025-10,52,2.3678
2025-10,53,2.0656
2025-10,54,1.8899
2025-10,55,1.7551
2025-10,56,1.7513
2025-10,57,1.7209
2025-10,58,1.6967
2025-10,59,1.571
2025-10,60,1.4827
2025-10,61,1.4122
2025-10,62,1.3938
2025-10,63,1.2094
