date,usdt,usdc,rlusd,usd1,usds,usdg,usde,xaut,total,usdt_close_krw
2026-06-17,504.79,9.54,0.00,0.15,0.00,0.00,0.03,4.56,519.07,1508
2026-06-18,612.49,6.48,0.00,0.52,0.09,0.00,0.44,3.78,623.80,1509
2026-06-19,545.16,9.17,0.00,0.49,0.03,0.00,0.06,1.88,556.79,1512
2026-06-20,340.55,2.88,0.00,0.14,0.04,0.00,0.04,0.46,344.11,1512
2026-06-21,333.50,7.86,0.00,0.31,0.12,0.00,0.02,1.19,343.00,1508
2026-06-22,571.20,9.50,0.00,0.49,0.02,0.00,0.03,2.27,583.51,1511
2026-06-23,684.09,8.22,0.00,0.35,0.04,0.00,0.04,3.38,696.12,1507
2026-06-24,881.86,9.46,0.00,0.60,0.25,0.00,0.15,9.45,901.77,1516
2026-06-25,789.96,11.20,0.00,0.50,0.36,0.00,0.37,5.24,807.63,1520
2026-06-26,568.86,8.80,0.00,0.33,0.08,0.00,0.10,3.09,581.26,1517
2026-06-27,317.73,4.03,0.00,0.35,0.06,0.00,0.16,1.48,323.81,1517
2026-06-28,283.08,4.01,0.00,0.18,0.11,0.00,0.03,1.35,288.76,1515
2026-06-29,664.21,4.43,0.00,0.41,0.02,0.00,0.03,2.84,671.94,1513
2026-06-30,789.61,10.24,0.00,1.13,0.02,0.00,0.41,3.86,805.27,1523
2026-07-01,837.92,10.83,0.00,0.79,0.07,0.00,0.05,5.21,854.87,1519
2026-07-02,881.02,6.77,0.00,0.45,0.18,0.00,0.08,2.88,891.38,1509
2026-07-03,592.62,9.74,0.00,0.30,0.03,0.00,0.04,2.99,605.72,1508
2026-07-04,336.18,3.21,0.00,0.15,0.02,0.00,0.04,0.96,340.56,1508
2026-07-05,350.87,5.39,0.00,0.14,0.03,0.00,0.01,1.26,357.70,1505
2026-07-06,487.93,4.66,0.00,0.29,0.03,0.00,0.06,4.28,497.25,1502
2026-07-07,531.30,6.24,0.00,0.29,0.17,0.00,0.13,5.55,543.68,1500
2026-07-08,575.87,10.23,0.00,0.35,0.05,0.00,0.12,2.03,588.65,1493
2026-07-09,408.62,5.20,0.00,0.13,0.00,0.00,0.03,3.85,417.83,1493
2026-07-10,407.43,3.61,0.00,0.28,0.04,0.00,0.02,1.25,412.63,1490
2026-07-11,213.30,3.06,0.00,0.26,0.05,0.00,0.82,0.92,218.41,1493
2026-07-12,215.76,3.36,0.00,0.19,0.15,0.00,0.04,0.54,220.04,1490
2026-07-13,575.07,12.41,0.00,0.25,0.32,0.00,0.16,6.02,594.23,1482
2026-07-14,620.75,11.85,0.00,0.34,0.04,0.00,0.20,4.81,637.99,1469
2026-07-15,446.37,7.78,0.00,0.33,0.03,0.00,0.25,3.32,458.08,1470
2026-07-16,409.00,10.32,0.00,0.19,0.01,0.00,0.03,3.03,422.58,1473
2026-07-17,337.80,2.48,0.00,0.35,0.02,0.00,0.02,1.44,342.11,1475
2026-07-18,225.85,1.89,0.00,0.10,0.01,0.00,0.00,0.50,228.35,1475
2026-07-19,250.80,3.80,0.00,0.16,0.00,0.00,0.01,0.71,255.48,1471
2026-07-20,433.20,5.61,0.00,0.22,0.03,0.00,0.11,0.68,439.85,1461
2026-07-21,472.97,5.70,0.00,0.18,0.11,0.00,0.10,3.06,482.12,1461
2026-07-22,371.74,5.28,0.00,0.19,0.08,0.00,0.03,2.54,379.86,1462
2026-07-23,438.63,4.27,0.00,0.57,0.03,0.00,0.09,3.01,446.60,1466
2026-07-24,476.65,3.90,0.00,0.23,0.04,0.00,0.02,1.69,482.53,1463
2026-07-25,296.71,2.42,0.00,0.06,0.00,0.00,0.00,0.30,299.49,1465
2026-07-26,712.93,6.60,0.00,0.55,0.02,0.00,0.09,1.74,721.93,1454
2026-07-27,1606.53,14.37,0.00,0.50,0.04,0.00,0.02,1.25,1622.71,1460
2026-07-28,1214.99,11.59,56.05,0.28,0.01,0.00,0.18,2.73,1285.83,1450
2026-07-29,1999.24,21.42,7.64,0.56,0.09,0.00,0.21,3.75,2032.91,1430
2026-07-30,1386.38,10.18,1.61,0.37,0.04,22.40,0.23,3.17,1424.38,1415
2026-07-31,1813.22,10.91,1.15,0.25,0.00,4.25,0.09,1.16,1831.03,1437
2026-08-01,586.01,6.38,1.66,0.16,0.00,0.55,0.01,0.25,595.02,1442
2026-08-02,569.70,8.29,0.88,0.12,0.01,0.22,0.07,1.08,580.37,1431
2026-08-03,991.22,7.24,0.95,0.17,0.00,2.15,0.04,1.03,1002.80,1424
2026-08-04,1191.15,11.61,0.56,0.04,0.02,4.58,0.02,0.82,1208.80,1423
