,ust_market_cap_usd
2020-11-28 00:00:00,17438607.17436174
2020-12-01 00:00:00,17487804.07027696
2020-12-04 00:00:00,23545114.10068018
2020-12-07 00:00:00,23569012.28272716
2020-12-10 00:00:00,23535361.7157024
2020-12-13 00:00:00,23536036.3848687
2020-12-16 00:00:00,145857650.40564144
2020-12-19 00:00:00,150198405.66832092
2020-12-22 00:00:00,152363034.28568447
2020-12-25 00:00:00,162816031.79902333
2020-12-28 00:00:00,166521005.58826578
2020-12-31 00:00:00,154940096.052434
2021-01-03 00:00:00,183032101.5087044
2021-01-06 00:00:00,184216668.93328467
2021-01-09 00:00:00,186688202.18532705
2021-01-12 00:00:00,198828062.91825947
2021-01-15 00:00:00,195477046.21024796
2021-01-18 00:00:00,194202824.25513914
2021-01-21 00:00:00,205093121.8721762
2021-01-24 00:00:00,222945562.56431895
2021-01-27 00:00:00,256398472.84331653
2021-01-30 00:00:00,268043346.6844232
2021-02-02 00:00:00,266777736.8948475
2021-02-05 00:00:00,261345692.9675911
2021-02-08 00:00:00,268844879.77270323
2021-02-11 00:00:00,331604330.5890827
2021-02-14 00:00:00,422168288.82459533
2021-02-17 00:00:00,482961938.6874004
2021-02-20 00:00:00,533736400.99896574
2021-02-23 00:00:00,589244195.2154591
2021-02-26 00:00:00,652272111.5794003
2021-03-01 00:00:00,700531154.0136609
2021-03-04 00:00:00,747229098.4202641
2021-03-07 00:00:00,782260937.8977315
2021-03-10 00:00:00,863842193.307521
2021-03-13 00:00:00,989089475.2817087
2021-03-16 00:00:00,1116430739.6875417
2021-03-19 00:00:00,1279001110.3256598
2021-03-22 00:00:00,1365788347.1921425
2021-03-25 00:00:00,1443120984.894626
2021-03-28 00:00:00,1552767532.4554427
2021-03-31 00:00:00,1621507874.0911891
2021-04-03 00:00:00,1678176750.621822
2021-04-06 00:00:00,1702600810.4312735
2021-04-09 00:00:00,1737024919.873293
2021-04-12 00:00:00,1760214633.9041133
2021-04-15 00:00:00,1789344662.2869325
2021-04-18 00:00:00,1824492800.4021797
2021-04-21 00:00:00,1834602485.1016781
2021-04-24 00:00:00,1866233385.2640111
2021-04-27 00:00:00,1923356673.0877228
2021-04-30 00:00:00,1963712387.3751552
2021-05-03 00:00:00,1980269585.6383045
2021-05-06 00:00:00,2014094345.9675689
2021-05-09 00:00:00,2051688461.5155737
2021-05-12 00:00:00,2082321366.4706953
2021-05-15 00:00:00,2093402186.208817
2021-05-18 00:00:00,2105537786.257873
2021-05-21 00:00:00,2082975754.9428072
2021-05-24 00:00:00,1917370983.1597614
2021-05-27 00:00:00,1972553213.7970598
2021-05-30 00:00:00,1955053116.2766957
2021-06-02 00:00:00,1941260535.6216104
2021-06-05 00:00:00,1925514592.5496304
2021-06-08 00:00:00,1904384943.5708876
2021-06-11 00:00:00,1900278893.0647168
2021-06-14 00:00:00,1903355379.5029304
2021-06-17 00:00:00,1904310387.527254
2021-06-20 00:00:00,1910857213.5944018
2021-06-23 00:00:00,1907283790.5871027
2021-06-26 00:00:00,1904400691.1209831
2021-06-29 00:00:00,1906780506.955301
2021-07-02 00:00:00,1926119118.0344048
2021-07-05 00:00:00,1925210444.7989976
2021-07-08 00:00:00,1929305379.5840702
2021-07-11 00:00:00,1930748616.3973482
2021-07-14 00:00:00,2001604027.6693094
2021-07-17 00:00:00,2012205565.406151
2021-07-20 00:00:00,2013464078.6330597
2021-07-23 00:00:00,2027742723.8110812
2021-07-26 00:00:00,2026676962.7257595
2021-07-29 00:00:00,2036387671.678676
2021-08-01 00:00:00,2041898178.1851325
2021-08-04 00:00:00,2055330495.29599
2021-08-07 00:00:00,2068778907.952661
2021-08-10 00:00:00,2084842062.3862355
2021-08-13 00:00:00,2105413210.2212179
2021-08-16 00:00:00,2138688782.2206645
2021-08-19 00:00:00,2243456738.588264
2021-08-22 00:00:00,2298471063.8058543
2021-08-25 00:00:00,2318342349.8783507
2021-08-28 00:00:00,2357508296.9097223
2021-08-31 00:00:00,2396486968.061421
2021-09-03 00:00:00,2435916851.3389573
2021-09-06 00:00:00,2445468430.1233644
2021-09-09 00:00:00,2476566433.5665274
2021-09-12 00:00:00,2556749177.203657
2021-09-15 00:00:00,2596639128.5219245
2021-09-18 00:00:00,2610020341.0817695
2021-09-21 00:00:00,2635598035.779988
2021-09-24 00:00:00,2665122557.5297794
2021-09-27 00:00:00,2663813945.844506
2021-09-30 00:00:00,2677146690.3678007
2021-10-03 00:00:00,2677630343.6814847
2021-10-06 00:00:00,2700060708.3621855
2021-10-09 00:00:00,2729772645.721994
2021-10-12 00:00:00,2734352950.8158774
2021-10-15 00:00:00,2735072421.9313917
2021-10-18 00:00:00,2740989268.391342
2021-10-21 00:00:00,2736761202.213051
2021-10-24 00:00:00,2756558839.8203306
2021-10-27 00:00:00,2752806656.5487547
2021-10-30 00:00:00,2782640634.903366
2021-11-02 00:00:00,2817444321.1625295
2021-11-05 00:00:00,2871971472.7443514
2021-11-08 00:00:00,2881027472.198796
2021-11-12 00:00:00,4126321881.7866707
2021-11-15 00:00:00,5442810412.059099
2021-11-18 00:00:00,6539761703.531313
2021-11-21 00:00:00,7174063171.9380455
2021-11-24 00:00:00,7201307836.091536
2021-11-27 00:00:00,7407133373.821979
2021-11-30 00:00:00,7584931032.96492
2021-12-03 00:00:00,7886724128.077729
2021-12-06 00:00:00,8245849414.259148
2021-12-09 00:00:00,8556950928.477533
2021-12-12 00:00:00,8674196414.96559
2021-12-15 00:00:00,8803836321.450018
2021-12-18 00:00:00,8911292881.439217
2021-12-21 00:00:00,9279520728.915468
2021-12-24 00:00:00,9765146505.562231
2021-12-27 00:00:00,10026277189.987078
2021-12-30 00:00:00,10107965892.19529
2022-01-02 00:00:00,10137873666.526949
2022-01-05 00:00:00,10354795975.384413
2022-01-08 00:00:00,10443161820.3569
2022-01-11 00:00:00,10507515335.35277
2022-01-14 00:00:00,10627504498.806265
2022-01-17 00:00:00,10739189355.346382
2022-01-20 00:00:00,10865334027.338295
2022-01-23 00:00:00,11076776335.20706
2022-01-26 00:00:00,11199596682.949268
2022-01-29 00:00:00,11205036539.436941
2022-02-01 00:00:00,11242511612.006758
2022-02-04 00:00:00,11261437732.003866
2022-02-07 00:00:00,11285849075.371752
2022-02-10 00:00:00,11257270107.145737
2022-02-13 00:00:00,11512734608.74783
