date,tx,buyers
2026-05-29,100428,5810
2026-05-30,114932,10447
2026-05-31,103942,5396
2026-06-01,154518,9777
2026-06-02,151537,10414
2026-06-03,119706,11566
2026-06-04,150926,6383
2026-06-05,170839,8333
2026-06-06,151918,6357
2026-06-07,162880,7031
2026-06-08,201337,8458
2026-06-09,440826,6370
2026-06-10,673184,8079
2026-06-11,352723,10989
2026-06-12,215032,8312
2026-06-13,152882,6784
2026-06-14,168357,6004
2026-06-15,243684,12644
2026-06-16,835758,6544
2026-06-17,1007758,15886
2026-06-18,841689,9226
2026-06-19,627494,8930
2026-06-20,458721,6698
2026-06-21,419342,5586
2026-06-22,649677,6079
2026-06-23,430438,6218
