date,coin,notional_usd
2025-12-31,AAPL,1231551.177095
2025-12-31,AMD,2291304.24975
2025-12-31,AMZN,2451864.4131
2025-12-31,COIN,4754255.52104
2025-12-31,CRCL,3639027.074028
2025-12-31,EUR,962097.6523349999
2025-12-31,GOLD,3497485.47291
2025-12-31,GOOGL,5211931.0287625
2025-12-31,HOOD,2588412.6191950003
2025-12-31,INTC,1561936.0596099996
2025-12-31,JPY,274065.3839
2025-12-31,META,993959.776325
2025-12-31,MSFT,704452.6879225001
2025-12-31,MSTR,1798871.5224074998
2025-12-31,MU,852482.8650600001
2025-12-31,NFLX,574862.23773
2025-12-31,NVDA,8404899.735380001
2025-12-31,ORCL,6025787.55245
2025-12-31,PLTR,3220101.107685
2025-12-31,SILVER,44118096.625687495
2025-12-31,TSLA,13447467.8799
2025-12-31,XYZ100,104583039.6105
2026-01-01,AAPL,206063.218625
2026-01-01,AMD,204702.1002
2026-01-01,AMZN,407603.41381749994
2026-01-01,COIN,637552.37424
2026-01-01,CRCL,46114.46797199999
2026-01-01,EUR,177386.461655
2026-01-01,GOLD,1035745.1081450001
2026-01-01,GOOGL,342270.41399999993
2026-01-01,HOOD,451894.08735000005
2026-01-01,INTC,657069.703775
2026-01-01,JPY,54155.125499999995
2026-01-01,META,240942.20314000003
2026-01-01,MSFT,158885.5495625
2026-01-01,MSTR,119328.27720750001
2026-01-01,MU,9308.582072500001
2026-01-01,NFLX,209505.090615
2026-01-01,NVDA,1287314.678925
2026-01-01,ORCL,68325.6948
2026-01-01,PLTR,641824.98304
2026-01-01,SILVER,4821175.6038
2026-01-01,TSLA,1937554.0404
2026-01-01,XYZ100,36760419.191425
2026-01-02,AAPL,2105965.230395
2026-01-02,AMD,2215044.25604
2026-01-02,AMZN,4744023.744675
2026-01-02,COIN,3926443.52004
2026-01-02,CRCL,1066603.6178279999
2026-01-02,EUR,1026178.7356499999
2026-01-02,GOLD,6419629.09875
2026-01-02,GOOGL,7807472.161440001
2026-01-02,HOOD,3785215.23968
2026-01-02,INTC,2251428.7321400004
2026-01-02,JPY,576633.6917000001
2026-01-02,META,2726627.3288700003
2026-01-02,MSFT,1366409.3464875
2026-01-02,MSTR,5298217.3688925
2026-01-02,MU,582354.77394
2026-01-02,NFLX,491113.59770250006
2026-01-02,NVDA,11791764.029265001
2026-01-02,ORCL,1546087.4719000002
2026-01-02,PLTR,7676463.574825001
2026-01-02,SILVER,30115560.7708225
2026-01-02,TSLA,15005443.04966
2026-01-02,XYZ100,190657852.1616
2026-01-03,AAPL,387738.67907250003
2026-01-03,AMD,373643.0712
2026-01-03,AMZN,6370620.441965001
2026-01-03,COIN,250329.37347000002
2026-01-03,CRCL,633724.191478
2026-01-03,EUR,336626.34948
2026-01-03,GOLD,2136194.5355625
2026-01-03,GOOGL,1309637.1933749998
2026-01-03,HOOD,294622.54360000003
2026-01-03,INTC,2048841.6446899998
2026-01-03,JPY,495555.6415
2026-01-03,META,3524737.3545999997
2026-01-03,MSFT,313109.97731499997
2026-01-03,MSTR,113497.2312675
2026-01-03,MU,185126.12255500004
2026-01-03,NFLX,38901.4711085
2026-01-03,NVDA,1485539.22177
2026-01-03,ORCL,1294247.3925949999
2026-01-03,PLTR,550789.9893675001
2026-01-03,SILVER,5914159.0172875
2026-01-03,TSLA,1525836.1302999998
2026-01-03,XYZ100,37582228.919625
2026-01-04,AAPL,90630.45068
2026-01-04,AMD,634383.625725
2026-01-04,AMZN,803716.8617100001
2026-01-04,COIN,476876.35744
2026-01-04,CRCL,130726.31644800001
2026-01-04,EUR,760796.4152650001
2026-01-04,GOLD,2594205.2912999997
2026-01-04,GOOGL,961304.8303
2026-01-04,HOOD,283281.0598
2026-01-04,INTC,327393.30525
2026-01-04,JPY,1018068.62715
2026-01-04,META,513408.31844
2026-01-04,MSFT,123542.49917999998
2026-01-04,MSTR,2146181.95539
2026-01-04,MU,7408.471915000001
2026-01-04,NFLX,96360.09185699999
2026-01-04,NVDA,1233594.5117650002
2026-01-04,ORCL,87404.792895
2026-01-04,PLTR,3004492.32553
2026-01-04,SILVER,5439462.962499999
2026-01-04,TSLA,1935348.426375
2026-01-04,XYZ100,37554907.1041
2026-01-05,AAPL,1448357.3103600002
2026-01-05,AMD,2647447.6696200003
2026-01-05,AMZN,6170446.1799800005
2026-01-05,COIN,6808070.59
2026-01-05,CRCL,999225.2158289999
2026-01-05,EUR,1258999.916275
2026-01-05,GOLD,11016327.378099998
2026-01-05,GOOGL,7961088.294749999
2026-01-05,HOOD,9285054.603120001
2026-01-05,INTC,1519935.336045
2026-01-05,JPY,232460.10315
2026-01-05,META,3559298.7383925
2026-01-05,MSFT,1311762.5274599998
2026-01-05,MSTR,9158030.337495
2026-01-05,MU,609386.4315
2026-01-05,NFLX,731412.7015455
2026-01-05,NVDA,9428632.8813225
2026-01-05,ORCL,3089420.66664
2026-01-05,PLTR,9780769.016575
2026-01-05,SILVER,25482309.343122497
2026-01-05,TSLA,12134220.41402
2026-01-05,XYZ100,175939518.99754998
2026-01-06,AAPL,1621402.3915875
2026-01-06,AMD,2187557.846145
2026-01-06,AMZN,7003727.695660001
2026-01-06,CL,635454.677205
2026-01-06,COIN,4032956.599050001
2026-01-06,CRCL,613476.43126
2026-01-06,EUR,1428722.01515
2026-01-06,GOLD,16810387.8073375
2026-01-06,GOOGL,11261089.917120002
2026-01-06,HOOD,2674535.7407475
2026-01-06,INTC,1757777.67825
2026-01-06,JPY,784113.5561999999
2026-01-06,META,1539425.6499349999
2026-01-06,MSFT,1262202.84176
2026-01-06,MSTR,10610740.832124999
2026-01-06,MU,1082836.6388400001
2026-01-06,NFLX,438815.402181
2026-01-06,NVDA,9826584.591570001
2026-01-06,ORCL,1117186.8233349998
2026-01-06,PLTR,2533954.40838
2026-01-06,SILVER,49556798.6106775
2026-01-06,TSLA,14408926.7767025
2026-01-06,XYZ100,149500149.016925
2026-01-07,AAPL,1457644.008005
2026-01-07,AMD,2906501.723295
2026-01-07,AMZN,3083989.4954000004
2026-01-07,CL,746359.83674925
2026-01-07,COIN,3997319.42088
2026-01-07,CRCL,648094.55925
2026-01-07,EUR,1248267.98795
2026-01-07,GOLD,7830899.33904
2026-01-07,GOOGL,8825820.05526
2026-01-07,HOOD,6254476.531994999
2026-01-07,INTC,4949882.207985001
2026-01-07,JPY,2394408.7238999996
2026-01-07,META,1982990.6509200002
2026-01-07,MSFT,1186098.1955750003
2026-01-07,MSTR,13449269.3781
2026-01-07,MU,1836450.9227175002
2026-01-07,NFLX,393882.8583690001
2026-01-07,NVDA,12000017.964170001
2026-01-07,ORCL,1082232.8236975002
2026-01-07,PLTR,6811401.511775
2026-01-07,SILVER,57714114.55211499
2026-01-07,TSLA,8919424.99134
2026-01-07,XYZ100,151578242.42090002
2026-01-08,AAPL,2052280.8401325003
2026-01-08,AMD,5109780.974549999
2026-01-08,AMZN,6180350.201874999
2026-01-08,CL,1123125.7413285
2026-01-08,COIN,10124880.3491625
2026-01-08,CRCL,2604818.9893600005
2026-01-08,EUR,1166371.8668824998
2026-01-08,GOLD,6569365.296925
2026-01-08,GOOGL,12525175.958250001
2026-01-08,HOOD,11367846.3061275
2026-01-08,INTC,6910343.6163375005
2026-01-08,JPY,1311378.978
2026-01-08,META,3031316.5388825
2026-01-08,MSFT,1497251.990175
2026-01-08,MSTR,12605195.2901175
2026-01-08,MU,2494676.34801
2026-01-08,NFLX,1344649.0375629999
2026-01-08,NVDA,17657375.974255
2026-01-08,ORCL,2744745.9740999998
2026-01-08,PLTR,9265611.802762501
2026-01-08,SILVER,35905845.21505
2026-01-08,TSLA,16282637.086327503
2026-01-08,XYZ100,211687002.2727
2026-01-09,AAPL,1302050.3880450001
2026-01-09,AMD,1153521.79935
2026-01-09,AMZN,2830258.45448
2026-01-09,CL,1762632.5306087497
2026-01-09,COIN,2157631.084125
2026-01-09,CRCL,859815.837292
2026-01-09,EUR,1302968.0599175
2026-01-09,GOLD,4420412.08056
2026-01-09,GOOGL,4798831.305362499
2026-01-09,HOOD,3112142.8625100004
2026-01-09,INTC,5279409.242129999
2026-01-09,JPY,871874.7564000001
2026-01-09,META,1422677.5605000001
2026-01-09,MSFT,1247378.43672
2026-01-09,MSTR,8846197.43945
2026-01-09,MU,1256120.48139
2026-01-09,NFLX,720387.87359
2026-01-09,NVDA,7510742.949712501
2026-01-09,ORCL,1517445.1826000002
2026-01-09,PLTR,2536474.27486
2026-01-09,SILVER,39015197.462115
2026-01-09,TSLA,12618220.6030125
2026-01-09,XYZ100,179036548.39935
2026-01-10,AAPL,66345.59057
2026-01-10,AMD,114566.38583
2026-01-10,AMZN,730226.17011
2026-01-10,CL,267244.07627925003
2026-01-10,COIN,247127.765785
2026-01-10,CRCL,19620.879977499997
2026-01-10,EUR,236311.558545
2026-01-10,GOLD,5107555.956510001
2026-01-10,GOOGL,1188204.467625
2026-01-10,HOOD,462976.12341500004
2026-01-10,INTC,4260696.0596875
2026-01-10,JPY,184712.00247500002
2026-01-10,META,68389.6783825
2026-01-10,MSFT,32530.54911
2026-01-10,MSTR,754152.5003
2026-01-10,MU,240596.7439275
2026-01-10,NFLX,29700.79094475
2026-01-10,NVDA,1239682.5739
2026-01-10,ORCL,804588.769315
2026-01-10,PLTR,176680.87395
2026-01-10,SILVER,10597865.651144998
2026-01-10,TSLA,1098701.322655
2026-01-10,XYZ100,38462383.8588
2026-01-11,AAPL,257606.49682250002
2026-01-11,AMD,96196.78080000001
2026-01-11,AMZN,1576720.8612250001
2026-01-11,CL,664966.6373075
2026-01-11,COIN,6303118.3542599995
2026-01-11,CRCL,536052.65383
2026-01-11,EUR,23771475.946399998
2026-01-11,GOLD,3879847.181205
2026-01-11,GOOGL,694235.8325474999
2026-01-11,HOOD,91575.6023325
2026-01-11,INTC,533456.45274
2026-01-11,JPY,48446266.20075001
2026-01-11,META,61922.05541250001
2026-01-11,MSFT,72854.9262
2026-01-11,MSTR,918764.9900975
2026-01-11,MU,37883.6546125
2026-01-11,NFLX,798796.0492720001
2026-01-11,NVDA,2412212.7693000003
2026-01-11,ORCL,58656.1913575
2026-01-11,PLTR,193439.08545
2026-01-11,SILVER,7638558.296320001
2026-01-11,TSLA,741387.987735
2026-01-11,XYZ100,49915767.7194
2026-01-12,AAPL,3361096.6211950006
2026-01-12,AMD,2830925.374765
2026-01-12,AMZN,7470452.756407499
2026-01-12,CL,1625838.114952
2026-01-12,COIN,4492587.386157501
2026-01-12,CRCL,1271749.768884
2026-01-12,EUR,2578044.6135925003
2026-01-12,GOLD,27088279.374117497
2026-01-12,GOOGL,9677141.23623
2026-01-12,HOOD,5388431.351572501
2026-01-12,INTC,11376287.5212
2026-01-12,JPY,6216394.137875
2026-01-12,META,2028940.4332800002
2026-01-12,MSFT,1066815.19116
2026-01-12,MSTR,8164056.570302499
2026-01-12,MU,1540460.6502925002
2026-01-12,NFLX,803060.168132
2026-01-12,NVDA,7422408.03645
2026-01-12,ORCL,2720622.78343
2026-01-12,PLTR,4607008.33923
2026-01-12,SILVER,70880523.11219999
2026-01-12,SNDK,622355.1132400001
2026-01-12,TSLA,14752051.77556
2026-01-12,XYZ100,170862393.0975
2026-01-13,AAPL,1768523.0039600001
2026-01-13,AMD,3659391.2969800006
2026-01-13,AMZN,8990476.132809998
2026-01-13,CL,1650956.512095
2026-01-13,COIN,4904283.519
2026-01-13,CRCL,5601099.8943374995
2026-01-13,EUR,1002423.3576500001
2026-01-13,GOLD,12454565.230529997
2026-01-13,GOOGL,9370984.867800001
2026-01-13,HOOD,12329895.673980001
2026-01-13,INTC,6018921.524560001
2026-01-13,JPY,3347848.7633999996
2026-01-13,META,3300647.276395
2026-01-13,MSFT,1848922.63311
2026-01-13,MSTR,11655213.72312
2026-01-13,MU,3260202.95358
2026-01-13,NFLX,2213835.2318005003
2026-01-13,NVDA,9929210.31697
2026-01-13,ORCL,5813685.414
2026-01-13,PLTR,9084329.6407425
2026-01-13,SILVER,111203009.46291
2026-01-13,SNDK,3096676.532125
2026-01-13,TSLA,21595706.195630003
2026-01-13,XYZ100,191963401.2804
2026-01-14,AAPL,1311079.7081925003
2026-01-14,AMD,3626824.5830300003
2026-01-14,AMZN,4871104.4192
2026-01-14,CL,2086691.1975882498
2026-01-14,COIN,7720599.8051875
2026-01-14,COPPER,1632215.6852595
2026-01-14,CRCL,4118481.4336929996
2026-01-14,EUR,879797.5874875
2026-01-14,GOLD,18817038.459614996
2026-01-14,GOOGL,8690081.386
2026-01-14,HOOD,6517467.499455
2026-01-14,INTC,10486278.187035
2026-01-14,JPY,2023491.2395749998
2026-01-14,META,2667816.8793
2026-01-14,MSFT,2059661.3077574999
2026-01-14,MSTR,19730614.8045325
2026-01-14,MU,3112053.4612575006
