date,shielded_supply
2024-06-02,1400000
2024-06-09,1450000
2024-06-16,1520000
2024-06-23,1530000
2024-06-30,1520000
2024-07-07,1750000
2024-07-14,1580000
2024-07-21,1540000
2024-07-28,1480000
2024-08-04,1500000
2024-08-11,1520000
2024-08-18,1530000
2024-08-25,1500000
2024-09-01,1490000
2024-09-08,1480000
2024-09-15,1510000
2024-09-22,1530000
2024-09-29,1530000
2024-10-06,1540000
2024-10-13,1550000
2024-10-20,1560000
2024-10-27,1560000
2024-11-03,1580000
2024-11-10,1590000
2024-11-17,1610000
2024-11-24,1640000
2024-12-01,1660000
2024-12-08,1700000
2024-12-15,1730000
2024-12-22,1740000
2024-12-29,1760000
2025-01-05,1780000
2025-01-12,1810000
2025-01-19,1830000
2025-01-26,1840000
2025-02-02,1870000
2025-02-09,2000000
2025-02-16,1970000
2025-02-23,1900000
2025-03-02,1920000
2025-03-09,1950000
2025-03-16,2030000
2025-03-23,2080000
2025-03-30,2150000
2025-04-06,2270000
2025-04-13,2440000
2025-04-20,2560000
2025-04-27,2610000
2025-05-04,2630000
2025-05-11,2650000
2025-05-18,2680000
2025-05-25,2700000
2025-06-01,2720000
2025-06-08,2750000
2025-06-15,2780000
2025-06-22,2800000
2025-06-29,2830000
2025-07-06,2870000
2025-07-13,2920000
2025-07-20,2980000
2025-07-27,3000000
2025-08-03,3200000
2025-08-10,3340000
2025-08-17,3500000
2025-08-24,3650000
2025-08-31,3750000
2025-09-07,3800000
2025-09-14,3830000
2025-09-21,3830000
2025-09-28,3830000
2025-10-05,4500000
2025-10-12,4900000
2025-10-19,5050000
2025-10-26,4900000
2025-11-02,4880000
2025-11-09,4880000
2025-11-16,4880000
2025-11-23,4880000
2025-11-30,4900000
2025-12-07,5050000
2025-12-14,4900000
2025-12-21,4920000
2025-12-28,4960000
2026-01-04,4980000
2026-01-11,5020000
2026-01-18,5050000
2026-01-25,5080000
2026-02-01,5100000
2026-02-08,5120000
2026-02-15,5130000
2026-02-22,5140000
2026-03-01,5150000
2026-03-08,5160000
2026-03-15,5170000
2026-03-22,5180000
2026-03-29,5180000
2026-04-05,5190000
2026-04-12,5190000
2026-04-19,5190000
2026-04-26,5190000
