"DateTime","Machine Payments Protocol - Transactions","Machine Payments Protocol - Buyers"
"2026-03-26 00:00:00",3448,158
"2026-03-27 00:00:00",2737,218
"2026-03-28 00:00:00",6657,172
"2026-03-29 00:00:00",3199,172
"2026-03-30 00:00:00",3621,147
"2026-03-31 00:00:00",5366,183
"2026-04-01 00:00:00",4656,181
"2026-04-02 00:00:00",4121,280
"2026-04-03 00:00:00",4253,462
"2026-04-04 00:00:00",3766,385
"2026-04-05 00:00:00",5677,654
"2026-04-06 00:00:00",4343,365
"2026-04-07 00:00:00",4790,419
"2026-04-08 00:00:00",3658,424
"2026-04-09 00:00:00",7836,379
"2026-04-10 00:00:00",3005,459
"2026-04-11 00:00:00",2657,486
"2026-04-12 00:00:00",2107,400
"2026-04-13 00:00:00",5741,568
"2026-04-14 00:00:00",2978,530
"2026-04-15 00:00:00",5112,468
"2026-04-16 00:00:00",16588,484
"2026-04-17 00:00:00",8615,461
"2026-04-18 00:00:00",6932,458
"2026-04-19 00:00:00",5393,569
"2026-04-20 00:00:00",6615,654
"2026-04-21 00:00:00",6128,801
"2026-04-22 00:00:00",8353,488
"2026-04-23 00:00:00",6153,636
"2026-04-24 00:00:00",9427,575
"2026-04-25 00:00:00",10141,537
"2026-04-26 00:00:00",8881,548
"2026-04-27 00:00:00",9069,489
"2026-04-28 00:00:00",11066,1211
"2026-04-29 00:00:00",13963,1065
"2026-04-30 00:00:00",18403,1056
"2026-05-01 00:00:00",12322,501
"2026-05-02 00:00:00",12113,686
"2026-05-03 00:00:00",11366,423
"2026-05-04 00:00:00",11580,431
"2026-05-05 00:00:00",12595,474
"2026-05-06 00:00:00",12440,609
"2026-05-07 00:00:00",21590,595
"2026-05-08 00:00:00",16128,625
"2026-05-09 00:00:00",13428,1718
"2026-05-10 00:00:00",12232,1121
"2026-05-11 00:00:00",12088,1047
"2026-05-12 00:00:00",11932,958
"2026-05-13 00:00:00",14764,1174
"2026-05-14 00:00:00",13371,1131
"2026-05-15 00:00:00",18282,1148
"2026-05-16 00:00:00",14677,1039
"2026-05-17 00:00:00",13731,830
"2026-05-18 00:00:00",14539,1115
"2026-05-19 00:00:00",20767,2387
"2026-05-20 00:00:00",18101,2349
"2026-05-21 00:00:00",16664,2445
"2026-05-22 00:00:00",15273,2302
"2026-05-23 00:00:00",13717,2210
"2026-05-24 00:00:00",14068,2112
"2026-05-25 00:00:00",18659,2617
"2026-05-26 00:00:00",17348,2387
"2026-05-27 00:00:00",21469,2630
"2026-05-28 00:00:00",32461,2741
"2026-05-29 00:00:00",34011,2785
"2026-05-30 00:00:00",15406,2669
"2026-05-31 00:00:00",26180,2451
"2026-06-01 00:00:00",15919,2708
"2026-06-02 00:00:00",13131,2530
"2026-06-03 00:00:00",16170,2813
"2026-06-04 00:00:00",16915,2951
"2026-06-05 00:00:00",11810,1860
"2026-06-06 00:00:00",8813,1196
"2026-06-07 00:00:00",7537,1193
"2026-06-08 00:00:00",9126,1239
"2026-06-09 00:00:00",14287,2493
"2026-06-10 00:00:00",18658,2787
"2026-06-11 00:00:00",20062,2741
"2026-06-12 00:00:00",20779,3434
"2026-06-13 00:00:00",16334,2873
"2026-06-14 00:00:00",17600,2758
"2026-06-15 00:00:00",16333,2434
"2026-06-16 00:00:00",17034,2333
"2026-06-17 00:00:00",19759,2167
"2026-06-18 00:00:00",18500,2039
"2026-06-19 00:00:00",15007,2295
"2026-06-20 00:00:00",14528,2208
"2026-06-21 00:00:00",16294,2787
"2026-06-22 00:00:00",17285,2765
"2026-06-23 00:00:00",15581,2475
"2026-06-24 00:00:00",14801,2565
