Day,regular_txs,RnB_txs,Other_RnI_txs,Only_BRC20_txs,Other_Inscriptions_txs,Only_Runes_txs,regular_tx_Fee,RnB_Fee,Other_RnI_Fee,Only_BRC20_Fee,Other_Inscriptions_Fee,Only_Runes_Fee,regular_tx_vsize,RnB_vsize,Other_RnI_vsize,Only_BRC20_vsize,Other_Inscription_vsize,Only_Runes_vsize
2026-08-30,213796,6375,6,3510,301,655321,1.603748600000251,0.005716880000000064,0.00036060000000000085,0.007314510000000079,0.004014500000000009,0.44194894000000523,66209141,1304667,82118,581311,584490,90589479
2026-08-29,237580,310,22,3760,399,492802,2.0093255499999265,0.0002782499999999987,0.00021996999999999973,0.007610190000000003,0.024162509999999998,0.3763831099999851,72422280,66171,48537,594225,3459943,68087872
2026-08-28,277876,5251,21,4317,780,281453,3.0984607499998154,0.004897239999999987,0.0002213599999999977,0.008602640000000054,0.019142180000000196,0.30302954999999016,88070994,1105141,41902,658743,2110594,38378061
2026-08-27,276704,1189,17,4891,490,407113,2.8489354299994933,0.0011824299999999997,0.00042673999999999945,0.009119590000000014,0.017352470000000023,0.3635665500000053,86700082,242940,69071,769920,2257856,55175209
2026-08-26,269675,4440,42,4795,5828,439508,2.5231915599997463,0.004885280000000008,0.0007177499999999996,0.008565590000000064,0.04850011999999984,0.3967004199999862,84983522,923123,101885,734107,4393787,59032634
2026-08-25,272776,616,31,4800,273,342108,2.7471226299998506,0.0005212099999999998,0.000766569999999999,0.009705859999999992,0.027539079999999962,0.3563579799999875,86416729,131366,83131,739348,3766020,46422848
2026-08-24,266216,983,13,4843,241,360267,2.713220299999794,0.0007655999999999991,0.0003803200000000004,0.009300770000000031,0.020231199999999946,0.3762058899999991,86011296,205162,30942,740875,2576796,49307681
2026-08-23,222677,2396,7,5601,323,471997,1.909648739999619,0.0022033200000000017,0.00020527999999999996,0.009497360000000035,0.003828319999999995,0.4060965500000097,68596287,493942,13671,869046,546364,65275606
2026-08-22,259377,27,12,5048,539,439504,2.626483779999639,0.00006547,0.00009165999999999999,0.009353360000000012,0.008407420000000053,0.43372228000001534,84349612,6547,11699,773001,820966,60827731
2026-08-21,313839,2,35,5599,310,219214,4.488963369999844,0.0000048,0.0015440300000000003,0.013080380000000018,0.012437310000000062,0.3427766599999781,100871038,415,149643,854646,1480528,30547623
2026-08-20,291473,98,1,4107,187,218766,3.8005878999997873,0.00009413999999999991,0.0005919,0.010035120000000005,0.01800608000000003,0.31462007999998115,93630158,20431,11838,628325,2156112,30622613
2026-08-19,263166,452,8,4421,234,269477,2.880185089999433,0.00045033999999999976,0.00012151999999999991,0.009068890000000033,0.007224060000000003,0.3256098799999667,82231626,95890,12324,682259,938524,37543269
2026-08-18,258062,29,44,5833,216,446975,2.4575007199993895,0.00004733999999999998,0.0008479100000000004,0.010614980000000015,0.014368159999999951,0.4246697400000251,80096426,6840,52977,923947,1653693,62922744
2026-08-17,254661,833,6,4874,543,495105,2.287456259999833,0.0007391499999999996,0.00023295999999999994,0.009411400000000002,0.013231950000000044,0.45514338999996895,83239702,173700,24083,800143,1719334,68470009
2026-08-16,212558,18,19,3980,320,614140,1.6674739999998285,0.00006537,0.00024857000000000004,0.007195060000000007,0.02427501999999992,0.4933483399998902,67857874,5979,29384,668361,3887330,84684310
2026-08-15,233099,8,161,4678,574,480994,1.8706415499999711,0.000029429999999999998,0.0016492000000000006,0.00841275,0.019880450000000074,0.42913424000001515,72249036,2695,182759,763832,2930976,65950404
2026-08-14,273820,132,27,4406,250,415867,2.701104700000283,0.00015509999999999965,0.00041406999999999984,0.00868558000000002,0.022966369999999982,0.41718496999996457,84913281,30425,41827,694858,3584362,57144521
2026-08-13,260432,260,38,5243,1560,413197,2.731000480000257,0.0002753099999999997,0.00050669,0.010193669999999988,0.028452700000000095,0.4176331099999601,81165666,57955,61939,833527,4094376,56637801
