month,partner_slug,revenue_usd_machinePL_plus_kept_value
Oct-25,me,476855.0
Nov-25,me,459361.0
Dec-25,me,299995.0
Dec-25,slabz,3750.0
Jan-26,me,594673.0
Jan-26,slabz,2027.0
Feb-26,knut,1511.0
Feb-26,me,249970.0
Feb-26,slabz,3244.0
Mar-26,me,184952.0
Mar-26,slabz,24520.0
Apr-26,me,144478.0
Apr-26,slabz,69261.0
May-26,arena,9685.0
May-26,cb,6114.0
May-26,comic,80421.0
May-26,fact,5224.0
May-26,mat,4298.0
May-26,me,127879.0
May-26,slabz,205508.0
Jun-26,arena,138883.0
Jun-26,comic,18168.0
Jun-26,fact,10869.0
Jun-26,gs,70016.0
Jun-26,mat,10922.0
Jun-26,me,14344.0
Jun-26,phantom,2139.0
Jun-26,pull,3719.0
Jun-26,rare,17996.0
Jun-26,roll,220416.0
Jun-26,slabz,157548.0
Jun-26,sol,519719.0
