machine,rarity_tier_1_rarest,spins,sold_back,sellback_pct
pokemon_25,4,91228,89904,98.55
pokemon_25,3,24399,23427,96.02
pokemon_25,2,4940,4670,94.53
pokemon_25,1,1273,1110,87.2
pokemon_50,4,249380,246611,98.89
pokemon_50,3,46832,45266,96.66
pokemon_50,2,12364,11621,93.99
pokemon_50,1,3100,2635,85.0
pokemon_250,4,77993,76626,98.25
pokemon_250,3,20703,20022,96.71
pokemon_250,2,4178,3904,93.44
pokemon_250,1,1107,976,88.17
pokemon_1000,4,28113,27930,99.35
pokemon_1000,3,7424,7272,97.95
pokemon_1000,2,1603,1548,96.57
pokemon_1000,1,372,334,89.78
pokemon_2500,4,23615,23479,99.42
pokemon_2500,3,6306,6185,98.08
pokemon_2500,2,1250,1196,95.68
pokemon_2500,1,322,292,90.68
