ticker,company,category,close_date,close_usd,shares_outstanding,market_cap_busd,q2_2026_btc_mined
IREN,IREN,전환 완료 / AI 인프라 중심,2026-08-28,35.45,394058650,13.97,
HUT,Hut 8,전환 완료 / AI 인프라 중심,2026-08-28,79.42,123259468,9.79,
WULF,TeraWulf,전환 완료 / AI 인프라 중심,2026-08-28,15.35,498968677,7.66,
RIOT,Riot,전환 중,2026-08-28,18.99,375258935,7.13,1587.0
CIFR,Cipher,전환 중,2026-08-28,15.17,415030722,6.3,
CORZ,Core Scientific,전환 완료 / AI 인프라 중심,2026-08-28,16.51,321340441,5.31,
MARA,MARA,채굴 중심,2026-08-28,10.67,386299297,4.12,2422.0
CLSK,CleanSpark,전환 중,2026-08-28,11.66,256817073,2.99,1920.0
BTDR,Bitdeer,채굴 중심,2026-08-28,10.32,271782245,2.8,2694.0
KEEL,Keel,전환 중,2026-08-28,3.22,617573212,1.99,354.0
ABTC,American Bitcoin,채굴 중심,2026-08-28,7.69,72819713,0.56,932.0
