date,price_usd,difficulty_t,fees_btc,block_subsidy_btc,hashprice_usd_per_ph_day,hashprice_7d
2017-01-01,964.84,0.3177,65.0795,12.5,791.3028,
2017-01-02,997.36,0.3177,112.8841,12.5,838.9395,
2017-01-03,1013.42,0.3177,117.5087,12.5,854.5094,828.2506
2017-01-04,1037.83,0.3177,193.3374,12.5,909.6977,848.6124
2017-01-05,1109.16,0.3177,114.9919,12.5,934.0093,865.6917
2017-01-06,999.65,0.3177,127.7707,12.5,847.4096,862.6447
2017-01-07,891.95,0.3177,106.3384,12.5,747.7054,846.2248
2017-01-08,906.16,0.3177,91.2413,12.5,753.6017,840.8389
2017-01-09,910.49,0.3177,102.0459,12.5,761.5286,829.7802
2017-01-10,896.92,0.3195,119.9409,12.5,752.9678,815.2743
2017-01-11,903.66,0.3369,111.8209,12.5,716.3788,787.6573
2017-01-12,780.92,0.3369,105.5039,12.5,617.0308,742.3747
2017-01-13,805.52,0.3369,96.9954,12.5,633.6261,711.8342
2017-01-14,825.0,0.3369,86.8567,12.5,645.4808,697.2307
2017-01-15,819.55,0.3369,82.2243,12.5,639.6425,680.9508
2017-01-16,822.01,0.3369,103.6427,12.5,648.863,664.8557
2017-01-17,830.56,0.3369,109.3931,12.5,657.5924,651.2306
2017-01-18,906.6,0.3369,107.9363,12.5,717.2491,651.355
2017-01-19,885.44,0.3369,112.3957,12.5,702.1459,663.5143
2017-01-20,903.1,0.3369,104.8496,12.5,713.3243,674.8997
2017-01-21,895.64,0.3369,94.5896,12.5,703.6215,683.2055
2017-01-22,921.99,0.3395,87.1149,12.5,715.9866,694.1118
2017-01-23,922.33,0.393,109.0117,12.5,625.9424,690.8375
2017-01-24,919.97,0.393,143.1652,12.5,635.5106,687.6829
2017-01-25,883.59,0.393,135.0081,12.5,607.8172,672.0498
2017-01-26,893.14,0.393,123.5563,12.5,610.7506,658.9933
2017-01-27,915.05,0.393,114.0437,12.5,622.6387,646.0382
2017-01-28,918.01,0.393,122.5351,12.5,627.424,635.1529
2017-01-29,918.62,0.393,119.8378,12.5,626.9601,622.4348
2017-01-30,912.19,0.393,135.1561,12.5,627.539,622.6629
2017-01-31,920.0,0.393,145.6616,12.5,636.3478,622.7825
2017-02-01,964.1,0.393,154.9166,12.5,670.0231,631.669
2017-02-02,983.42,0.393,142.3006,12.5,679.0393,641.4246
2017-02-03,1008.67,0.393,162.4212,12.5,703.689,653.0032
2017-02-04,1015.65,0.3936,138.6464,12.5,698.8996,663.214
2017-02-05,1034.07,0.4222,136.1787,12.5,662.5197,668.2939
2017-02-06,1011.08,0.4222,154.9302,12.5,654.064,672.0832
2017-02-07,1023.96,0.4222,170.7567,12.5,667.7585,676.5705
2017-02-08,1052.84,0.4222,157.1449,12.5,681.8499,678.26
2017-02-09,1050.7,0.4222,174.1857,12.5,686.3888,679.3099
2017-02-10,985.34,0.4222,139.7792,12.5,632.4728,669.1362
2017-02-11,997.59,0.4222,117.08,12.5,632.8427,659.6995
2017-02-12,1012.46,0.4222,102.5106,12.5,637.3946,656.1102
2017-02-13,1000.74,0.4222,136.7724,12.5,641.3621,654.2956
2017-02-14,1001.2,0.4222,140.9913,12.5,643.0546,650.7665
2017-02-15,1007.08,0.4222,134.0489,12.5,644.5177,645.4333
2017-02-16,1011.25,0.4222,169.8772,12.5,659.1756,641.5457
2017-02-17,1035.2,0.4222,165.8444,12.5,673.4058,647.3933
2017-02-18,1054.55,0.4329,152.229,12.5,664.2892,651.8857
2017-02-19,1056.0,0.4408,129.4438,12.5,645.7518,653.0795
2017-02-20,1050.87,0.4408,159.914,12.5,652.7631,654.7083
2017-02-21,1084.06,0.4408,165.8171,12.5,675.4077,659.3301
2017-02-22,1125.0,0.4408,182.0357,12.5,706.6976,668.213
2017-02-23,1130.01,0.4408,211.6547,12.5,720.4525,676.9668
2017-02-24,1187.41,0.4408,226.7099,12.5,762.7143,689.7252
2017-02-25,1180.14,0.4408,191.3042,12.5,744.8018,701.227
2017-02-26,1150.37,0.4408,161.1726,12.5,715.0279,711.1236
2017-02-27,1180.46,0.4408,195.3875,12.5,746.5315,724.519
2017-02-28,1194.17,0.4408,227.3715,12.5,767.3069,737.6475
2017-03-01,1190.89,0.4408,229.5904,12.5,766.0368,746.1245
2017-03-02,1224.98,0.4408,252.2266,12.5,796.7534,757.0247
2017-03-03,1257.6,0.4455,259.6861,12.5,812.1622,764.0886
