rank,country,continent,outbound_sent_usd,domestic_usd,domestic_pct,intra_region_usd,intra_region_pct,outside_region_usd,outside_region_pct
1,South Korea,Asia-Pacific,1921026199.94,1596762629.86,83.1,149879910.99,7.8,174383659.09,9.1
2,Turkey,Middle East & Africa,3168839139.59,2276320378.78,71.8,34403249.05,1.1,858115511.76,27.1
3,Thailand,Asia-Pacific,363756623.97,250543405.26,68.9,38895009.28,10.7,74318209.43,20.4
4,Japan,Asia-Pacific,90755834.03,61302417.48,67.5,11860319.21,13.1,17593097.34,19.4
5,Hong Kong,Asia-Pacific,53414048.42,35756106.2,66.9,6266596.79,11.7,11391345.43,21.3
6,Mexico,North America,2365241529.48,1533907309.14,64.9,197125113.55,8.3,634209106.79,26.8
7,South Africa,Middle East & Africa,55003630.99,33645054.44,61.2,3253205.68,5.9,18105370.87,32.9
8,Indonesia,Asia-Pacific,1820182938.97,1087463830.16,59.7,330112974.36,18.1,402606134.45,22.1
9,United States,North America,1902823923.05,1068427237.08,56.1,246186468.67,12.9,588210217.3,30.9
10,Canada,North America,79979671.32,43808618.95,54.8,15617490.06,19.5,20553562.31,25.7
11,Singapore,Asia-Pacific,66440010.23,36030388.83,54.2,13284406.17,20,17125215.23,25.8
12,Brazil,Latin America,127757599.92,65996736.26,51.7,9978.27,0,61750885.39,48.3
13,Taiwan,Asia-Pacific,848631436.82,420790143.14,49.6,222523831,26.2,205317462.68,24.2
14,Austria,Europe,328068938.19,161999937.13,49.4,23818320.23,7.3,142250680.83,43.4
15,Netherlands,Europe,207029503.23,101920215.84,49.2,22643755.77,10.9,82465531.62,39.8
16,Australia,Asia-Pacific,827538845.15,390558379.82,47.2,143371142.8,17.3,293609322.53,35.5
17,Poland,Europe,30586867.73,14142950.48,46.2,4829592.81,15.8,11614324.44,38
18,Ukraine,Europe,570419540.35,222495173.99,39,11672392.7,2,336251973.66,58.9
19,India,Asia-Pacific,204407026.48,76512686.43,37.4,49768227.82,24.3,78126112.23,38.2
20,Iran,Middle East & Africa,116351399.05,30371305.1,26.1,25542363.35,22,60437730.6,51.9
21,Philippines,Asia-Pacific,35456182.6,748189.12,2.1,28806879.41,81.2,5901114.07,16.6
