From Metro,To Metro,DZ Avg RTT (ms),DZ P95 RTT (ms),DZ Jitter (ms),Internet Avg RTT (ms),Internet P95 RTT (ms),Internet Jitter (ms),RTT Improvement (%),Jitter Improvement (%)
chi,pit,9.6,9.7,0.03,41.4,87.9,0.33,76.7,90.9
ams,lon,5.7,5.9,0.03,15.3,64.9,7.01,62.7,99.6
ams,fra,6.0,6.8,0.03,15.8,31.1,2.95,61.6,99.0
hkg,tyo,48.3,48.4,0.03,124.0,162.2,0.77,61.0,96.1
lon,osl,15.1,15.2,0.03,35.1,94.9,9.11,57.0,99.7
sea,slc,16.4,16.5,0.02,34.8,51.6,0.13,52.8,84.6
muc,sxb,5.3,5.3,0.03,10.6,12.2,0.06,50.0,50.0
mrs,sxb,10.8,10.9,0.03,21.1,23.1,0.07,48.7,57.1
fra,mrs,14.7,16.2,0.03,27.6,30.9,0.09,46.7,66.7
fra,osl,17.9,17.9,0.03,33.3,44.5,0.15,46.3,80.0
lon,mrs,16.1,16.1,0.03,29.2,93.5,12.04,45.1,99.8
fra,tyo,134.1,134.1,0.08,235.5,247.1,1.05,43.0,92.4
lax,slc,13.5,13.6,0.03,23.6,29.6,0.13,42.6,76.9
nyc,yto,10.0,10.1,0.02,17.5,21.5,0.68,42.5,97.1
dub,lon,9.0,9.4,0.03,15.1,30.1,0.37,40.6,91.9
mrs,sao,124.6,124.6,0.10,206.3,232.9,2.24,39.6,95.5
fra,sxb,2.8,2.9,0.03,4.6,9.4,0.07,38.8,57.1
ams,sto,19.7,19.8,0.03,31.6,43.3,4.98,37.6,99.4
fra,prg,7.1,7.1,0.03,11.2,13.1,0.09,37.0,66.7
nyc,pit,8.6,8.6,0.04,13.3,21.8,0.89,35.6,95.5
ams,dub,12.4,12.5,0.03,19.2,21.6,1.72,35.0,98.3
nyc,ymq,7.8,7.9,0.02,11.5,19.8,1.03,31.8,98.1
fra,was,85.5,90.5,0.04,122.8,143.2,0.32,30.4,87.5
mad,mrs,14.3,14.3,0.03,19.5,36.5,1.61,26.8,98.1
dub,nyc,60.1,60.2,0.04,82.1,85.7,0.18,26.7,77.8
ams,mrs,18.8,18.8,0.02,25.4,58.4,4.85,26.2,99.6
nyc,was,5.3,5.4,0.03,7.1,7.6,0.16,26.2,81.2
sqq,sto,13.3,13.3,0.03,17.8,19.9,0.24,25.4,87.5
fra,waw,14.1,14.1,0.03,18.8,21.6,0.19,25.0,84.2
muc,waw,18.1,18.2,0.03,23.9,26.2,0.21,24.2,85.7
chi,lax,38.1,38.3,0.06,49.2,53.0,0.18,22.5,66.7
fra,lon,11.2,11.4,0.03,14.1,14.7,0.11,20.8,72.7
chi,tyo,120.8,120.9,0.03,148.7,165.7,0.24,18.8,87.5
fra,muc,6.1,6.2,0.04,7.5,9.7,0.12,18.6,66.7
lax,sjc,7.9,8.0,0.04,9.6,11.8,0.45,17.7,91.1
bom,mrs,92.2,92.3,0.03,110.3,145.0,0.58,16.4,94.8
ams,mad,23.0,23.0,0.03,27.4,32.8,1.14,16.1,97.4
lon,nyc,67.0,69.3,0.27,80.0,84.0,0.74,16.1,63.5
mia,was,25.5,25.5,0.03,30.0,31.7,0.26,15.0,88.5
nyc,sao,107.6,107.7,0.03,124.0,128.3,8.81,13.2,99.7
dfw,mia,27.6,27.6,0.04,31.0,34.5,0.44,11.1,90.9
chi,slc,26.4,26.4,0.03,29.1,30.1,0.22,9.5,86.4
bom,sin,59.7,60.3,0.16,65.8,85.0,1.18,9.3,86.4
dfw,was,33.6,33.8,0.09,36.9,37.5,0.16,8.9,43.8
chi,sjc,42.7,42.8,0.06,46.8,47.1,0.14,8.8,57.1
dfw,lax,28.7,32.1,0.04,31.4,33.3,0.19,8.7,78.9
mrs,was,81.7,81.8,0.04,89.1,90.0,0.26,8.3,84.6
mrs,sin,134.5,136.6,0.03,146.1,157.0,1.44,7.9,97.9
lax,sao,153.0,153.0,0.03,164.7,182.8,1.03,7.1,97.1
lax,sea,24.7,24.8,0.04,26.6,27.7,0.51,7.1,92.2
chi,sea,40.0,40.7,0.08,42.7,44.5,0.16,6.5,50.0
sin,tyo,65.7,67.2,0.04,70.3,82.9,0.79,6.4,94.9
fra,sin,149.0,149.1,0.04,157.7,233.7,0.92,5.5,95.7
lax,tyo,98.8,98.8,0.03,104.2,105.3,0.47,5.2,93.6
lax,sin,173.4,173.4,0.03,181.8,191.4,3.14,4.6,99.0
sea,sjc,19.0,19.1,0.03,19.9,21.0,0.11,4.5,72.7
mad,sxb,21.3,21.4,0.03,22.1,23.5,0.08,3.7,62.5
chi,dfw,21.7,21.9,0.04,22.5,22.6,0.48,3.3,91.7
chi,was,20.2,20.2,0.04,20.9,24.0,0.18,3.3,77.8
chi,nyc,17.3,17.8,0.03,17.8,18.3,0.08,3.0,62.5
sea,tyo,96.8,126.4,0.04,99.5,129.2,0.66,2.7,93.9
sjc,tyo,103.4,103.5,0.03,105.7,108.0,1.05,2.2,97.1
pit,was,7.6,8.6,0.05,7.8,12.0,0.05,1.9,0.0
fra,sqq,27.8,27.9,0.03,27.8,38.9,0.16,-0.3,81.2
dfw,nyc,39.1,39.4,0.04,34.9,37.4,0.35,-11.9,88.6
hkg,sin,35.8,35.9,0.05,31.8,38.5,0.73,-12.6,93.2
