continent,country,all_validators_pct,professional_validators_pct,note
North America,United States,38.19,25.81,
North America,Canada,3.90,,Outside top 10 in professional set
Europe,Germany,13.04,11.88,
Europe,United Kingdom,4.33,7.74,
Europe,Finland,3.98,,Outside top 10 in professional set
Europe,France,3.67,5.19,
Europe,Netherlands,2.79,6.04,
Europe,Switzerland,2.51,3.82,
Asia,Singapore,3.15,7.28,
Asia,Hong Kong,,6.44,Outside top 10 in all-validator set
Asia,Japan,,6.38,Outside top 10 in all-validator set
Asia,South Korea,,4.59,Outside top 10 in all-validator set
Oceania,Australia,2.80,,Outside top 10 in professional set
Other,Other,21.64,14.83,
