Timestamp,Date,Measure,Tether USDt,USDC,Binance USD,Paypal USD,Mountain USD,GMO JPY,EUROe,EUR CoinVertible,EURC,Tether EURt,Angle Euro,Stasis Euro,Pax Dollar,Z.com USD,Gemini Dollar,First Digital USD,Ethena USDe,GHO,Verified USD,FRAX,USDS,TrueUSD,Tether MXNt,Tether CNHt,USDD,VNX Euro,VNX Swiss Franc,BiLira Turkish Lira,Australian Digital Dollar,Bean,StraitsX Indonesian Rupiah,BRLA Token,Stable Coin,Glo Dollar,Liquity LUSD,StraitsX Singapore Dollar,Synthetix sUSD,Synthetix sEUR,Poundtoken,BRZ,RupiahToken,Fathom Dollar,Forte AUD,Binance-Peg BUSD,Alloy USDT,Usual USD,AUSD,Anzen USDz,Anchored Coins EUR,M,Elixir deUSD,Open Money USD,USDtb,Ripple USD,Global Dollar,Real MXN,OpenEden OpenDollar,MXNB - Mexican peso stablecoin,Avant USD,Plume USD,USD1,Level USD,Quantoz USDQ,Quantoz EURQ,EURØP,mZAR,Frontier Stable Token,BBRL,BRL1,Ondo U.S. Dollar Token,Pareto USP,USDai,Origin Dollar,USR,reUSD,Braza USDB,USX,Falcon USD,R2USD,USD CoinVertible,Tokenised GBP,MetaMask USD,Hylo USD,StandX DUSD,CASH,Unitas USD,KRW1,JupUSD,Tether America USD,EURe,Neutrl USD,Avalon USDa,Cap USD,Dola,MNEE USD,InfiniFi USD,USDGO,Lista USD,Cygnus Finance Global USD,Eurite Euro Token,Fidelity Digital Dollar,Dai Stablecoin,YLDS,A7A5,AllUnity EUR,SoFiUSD,USDX,USDat,Frax USD,Asia Dollar,USDH,Hyper USD,WesternUnion U.S. Dollar Payment Token,Falcon Finance USD,Multipli rwaUSDi,Multipli rwaUSD,AUDM Macropod,Satoshi Stablecoin,Yuzu USD,f(x) Protocol fxUSD,Frankencoin,Tenbin Brazilian Real,Tenbin Mexican Peso,Theo USD
1511827200000,2017-11-28,Bridged Token Market Cap (Dollar),10005.699999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1511913600000,2017-11-29,Bridged Token Market Cap (Dollar),10191.300000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1512000000000,2017-11-30,Bridged Token Market Cap (Dollar),10088.999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1512086400000,2017-12-01,Bridged Token Market Cap (Dollar),10084.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1512172800000,2017-12-02,Bridged Token Market Cap (Dollar),9996.310000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1512259200000,2017-12-03,Bridged Token Market Cap (Dollar),9936.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1512345600000,2017-12-04,Bridged Token Market Cap (Dollar),10017.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1512432000000,2017-12-05,Bridged Token Market Cap (Dollar),10023.599999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1512518400000,2017-12-06,Bridged Token Market Cap (Dollar),10093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1512604800000,2017-12-07,Bridged Token Market Cap (Dollar),10311.999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1512691200000,2017-12-08,Bridged Token Market Cap (Dollar),10175.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1512777600000,2017-12-09,Bridged Token Market Cap (Dollar),10184.599999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1512864000000,2017-12-10,Bridged Token Market Cap (Dollar),10166.599999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1512950400000,2017-12-11,Bridged Token Market Cap (Dollar),10107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1513036800000,2017-12-12,Bridged Token Market Cap (Dollar),10740.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1513123200000,2017-12-13,Bridged Token Market Cap (Dollar),10194.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1513209600000,2017-12-14,Bridged Token Market Cap (Dollar),10114.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1513296000000,2017-12-15,Bridged Token Market Cap (Dollar),10160.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1513382400000,2017-12-16,Bridged Token Market Cap (Dollar),10074.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1513468800000,2017-12-17,Bridged Token Market Cap (Dollar),10106.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1513555200000,2017-12-18,Bridged Token Market Cap (Dollar),10142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1513641600000,2017-12-19,Bridged Token Market Cap (Dollar),10153.099999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1513728000000,2017-12-20,Bridged Token Market Cap (Dollar),10005.699999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1513814400000,2017-12-21,Bridged Token Market Cap (Dollar),10083.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1513900800000,2017-12-22,Bridged Token Market Cap (Dollar),10353.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1513987200000,2017-12-23,Bridged Token Market Cap (Dollar),10520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1514073600000,2017-12-24,Bridged Token Market Cap (Dollar),10291.999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1514160000000,2017-12-25,Bridged Token Market Cap (Dollar),10112.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1514246400000,2017-12-26,Bridged Token Market Cap (Dollar),10044.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1514332800000,2017-12-27,Bridged Token Market Cap (Dollar),10037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
