Timestamp,Date,Measure,Centrifuge,Backed Finance,Backed Finance (xStocks),Securitize,Ondo,Swarm,STOKR,Figure,WisdomTree,Plume Vaults,Superstate Opening Bell,Remora Markets,Robinhood,st0x,bStocks,Dinari
1671753600000,2022-12-23,Bridged Token Value (Dollar),,39198,,,,,,,,,,,,,,
1671840000000,2022-12-24,Bridged Token Value (Dollar),,39550,,,,,,,,,,,,,,
1671926400000,2022-12-25,Bridged Token Value (Dollar),,39550,,,,,,,,,,,,,,
1672012800000,2022-12-26,Bridged Token Value (Dollar),,39550,,,,,,,,,,,,,,
1672099200000,2022-12-27,Bridged Token Value (Dollar),,39550,,,,,,,,,,,,,,
1672185600000,2022-12-28,Bridged Token Value (Dollar),,39806,,,,,,,,,,,,,,
1672272000000,2022-12-29,Bridged Token Value (Dollar),,39400,,,,,,,,,,,,,,
1672358400000,2022-12-30,Bridged Token Value (Dollar),,39713,,,,,,,,,,,,,,
1672444800000,2022-12-31,Bridged Token Value (Dollar),,39328,,,,,,,,,,,,,,
1672531200000,2023-01-01,Bridged Token Value (Dollar),,39328,,,,,,,,,,,,,,
1672617600000,2023-01-02,Bridged Token Value (Dollar),,39328,,,,,,,,,,,,,,
1672704000000,2023-01-03,Bridged Token Value (Dollar),,39328,,,,,,,,,,,,,,
1672790400000,2023-01-04,Bridged Token Value (Dollar),,39300,,,,,,,,,,,,,,
1672876800000,2023-01-05,Bridged Token Value (Dollar),,39854,,,,,,,,,,,,,,
1672963200000,2023-01-06,Bridged Token Value (Dollar),,39200,,,,,,,,,,,,,,
1673049600000,2023-01-07,Bridged Token Value (Dollar),,39995,,,,,,,,,,,,,,
1673136000000,2023-01-08,Bridged Token Value (Dollar),,39995,,,,,,,,,,,,,,
1673222400000,2023-01-09,Bridged Token Value (Dollar),,39995,,,,,,,,,,,,,,
1673308800000,2023-01-10,Bridged Token Value (Dollar),,40832,,,,,,,,,,,,,,
1673395200000,2023-01-11,Bridged Token Value (Dollar),,40214,,,,,,,,,,,,,,
1673481600000,2023-01-12,Bridged Token Value (Dollar),,40844,,,,,,,,,,,,,,
1673568000000,2023-01-13,Bridged Token Value (Dollar),,40925,,,,,,,,,,,,,,
1673654400000,2023-01-14,Bridged Token Value (Dollar),,40959,,,,,,,,,,,,,,
1673740800000,2023-01-15,Bridged Token Value (Dollar),,40959,,,,,,,,,,,,,,
1673827200000,2023-01-16,Bridged Token Value (Dollar),,40959,,,,,,,,,,,,,,
1673913600000,2023-01-17,Bridged Token Value (Dollar),,40959,,,,,,,,,,,,,,
1674000000000,2023-01-18,Bridged Token Value (Dollar),,41482,,,,,,,4500000,,,,,,,
1674086400000,2023-01-19,Bridged Token Value (Dollar),,40793,,,,,,,4465100,,,,,,,
1674172800000,2023-01-20,Bridged Token Value (Dollar),,40515,,,,,,,4573650,,,,,,,
1674259200000,2023-01-21,Bridged Token Value (Dollar),,40660,,,,,,,4573650,,,,,,,
1674345600000,2023-01-22,Bridged Token Value (Dollar),,40660,,,,,,,4573650,,,,,,,
1674432000000,2023-01-23,Bridged Token Value (Dollar),,40660,,,,,,,4651350,,,,,,,
1674518400000,2023-01-24,Bridged Token Value (Dollar),,41524,,,,,,,4637750,,,,,,,
