date,total_usd,trade.xyz_usd,ventuals_usd,lighter_usd,aster_usd,binance_usd,okx_usd,trade.xyz_share,ventuals_share,lighter_share,aster_share,binance_share,okx_share
2026-05-07,23844237.81,0.00,0.00,0.00,0.00,0.00,23844237.81,0.00,0.00,0.00,0.00,0.00,1.00
2026-05-08,17431652.45,0.00,0.00,0.00,0.00,0.00,17431652.45,0.00,0.00,0.00,0.00,0.00,1.00
2026-05-09,18194447.60,0.00,0.00,0.00,0.00,0.00,18194447.60,0.00,0.00,0.00,0.00,0.00,1.00
2026-05-10,33651300.45,0.00,0.00,0.00,0.00,0.00,33651300.45,0.00,0.00,0.00,0.00,0.00,1.00
2026-05-11,12190465.27,0.00,0.00,0.00,0.00,0.00,12190465.27,0.00,0.00,0.00,0.00,0.00,1.00
2026-05-12,10322011.07,0.00,0.00,0.00,0.00,0.00,10322011.07,0.00,0.00,0.00,0.00,0.00,1.00
2026-05-13,7857659.39,0.00,0.00,0.00,0.00,0.00,7857659.39,0.00,0.00,0.00,0.00,0.00,1.00
2026-05-14,3028093.49,0.00,0.00,0.00,0.00,0.00,3028093.49,0.00,0.00,0.00,0.00,0.00,1.00
2026-05-15,4035514.28,0.00,136992.64,13284.35,0.00,0.00,3885237.29,0.00,0.03,0.00,0.00,0.00,0.96
2026-05-16,10370835.34,0.00,435761.23,30961.44,0.00,0.00,9904112.67,0.00,0.04,0.00,0.00,0.00,0.95
2026-05-17,32122383.86,5322752.23,549926.81,63055.46,0.00,0.00,26186649.35,0.17,0.02,0.00,0.00,0.00,0.82
2026-05-18,81115154.20,56217499.80,863560.89,425009.05,425130.93,0.00,23183953.53,0.69,0.01,0.01,0.01,0.00,0.29
2026-05-19,13018948.63,6811285.08,104345.55,93330.51,279894.16,0.00,5730093.33,0.52,0.01,0.01,0.02,0.00,0.44
2026-05-20,23622122.83,11055607.28,178608.52,48982.24,335547.01,0.00,12003377.78,0.47,0.01,0.00,0.01,0.00,0.51
2026-05-21,140641464.15,35991852.48,1153897.94,571030.30,4165105.46,80762964.69,17996613.28,0.26,0.01,0.00,0.03,0.57,0.13
2026-05-22,109566299.65,21775722.72,214251.74,41534.92,874415.40,75278493.71,11381881.17,0.20,0.00,0.00,0.01,0.69,0.10
2026-05-23,57760990.31,13502346.41,103419.11,32956.54,441375.09,39734337.75,3946555.41,0.23,0.00,0.00,0.01,0.69,0.07
2026-05-24,93008791.06,22518537.08,228232.02,87689.50,358745.32,62719604.49,7095982.65,0.24,0.00,0.00,0.00,0.67,0.08
2026-05-25,29972684.00,5664126.19,80590.67,281.66,151848.58,21098289.30,2977547.60,0.19,0.00,0.00,0.01,0.70,0.10
2026-05-26,59059411.44,15120695.83,63711.22,0.00,170213.03,38448129.25,5256662.10,0.26,0.00,0.00,0.00,0.65,0.09
2026-05-27,38283834.33,8184507.11,83484.24,0.00,144153.25,25024847.01,4846842.73,0.21,0.00,0.00,0.00,0.65,0.13
2026-05-28,59026482.45,10176056.96,5111291.28,0.00,268638.52,35575166.48,7895329.22,0.17,0.09,0.00,0.00,0.60,0.13
2026-05-29,75051017.43,21309754.26,457234.81,0.23,231804.59,47188549.47,5863674.07,0.28,0.01,0.00,0.00,0.63,0.08
2026-05-30,48205500.07,8203106.86,262728.36,34345.29,182531.07,34546243.22,4976545.28,0.17,0.01,0.00,0.00,0.72,0.10
2026-05-31,35034872.23,5881587.49,45896.38,1341.25,195049.20,25230927.18,3680070.73,0.17,0.00,0.00,0.01,0.72,0.11
2026-06-01,93237101.92,24117960.79,47860.76,128415.46,567447.96,61320303.94,7055113.01,0.26,0.00,0.00,0.01,0.66,0.08
2026-06-02,94160194.86,13430650.24,55345.59,23811.97,293735.14,50532593.12,29824058.80,0.14,0.00,0.00,0.00,0.54,0.32
2026-06-03,187892130.12,51092372.19,290287.59,348024.18,495833.10,106758692.70,28906920.37,0.27,0.00,0.00,0.00,0.57,0.15
2026-06-04,165151787.41,40512633.15,228286.63,158213.87,398216.20,94406468.78,29447968.79,0.25,0.00,0.00,0.00,0.57,0.18
2026-06-05,183712333.80,30388619.55,297284.66,196076.11,503527.75,120004275.66,32322550.08,0.17,0.00,0.00,0.00,0.65,0.18
2026-06-06,65553516.38,11479114.92,225194.43,27356.94,83058.94,40614677.59,13124113.56,0.18,0.00,0.00,0.00,0.62,0.20
2026-06-07,129846964.45,20988289.88,185045.05,96806.36,380128.97,79992552.96,28204141.23,0.16,0.00,0.00,0.00,0.62,0.22
2026-06-08,425873359.89,93946807.10,233189.37,0.00,1677864.23,246234354.39,83781144.79,0.22,0.00,0.00,0.00,0.58,0.20
2026-06-10,327778279.33,67490906.39,201141.90,2175062.73,1391401.04,192038900.78,64480866.50,0.21,0.00,0.01,0.00,0.59,0.20
2026-06-11,520676452.62,126455020.77,333830.03,388189.94,797587.13,289918090.33,102783734.42,0.24,0.00,0.00,0.00,0.56,0.20
