group,metric,CBRS (Cerebras),QNT (Quantinuum),SPCX (SpaceX)
Window,Launch to conversion (UTC),2026-05-01 to 2026-05-14,2026-05-28 to 2026-06-04,2026-05-17 to 2026-06-12
Demand,Pre-listing volume (all observed days to the open),$47.9M,$18.4M,$794.3M
Demand,Daily average (window),$3.69M (13d),$2.62M (7d),$30.6M (26d)
Demand,Conversion-day volume (full UTC day),$281.4M,$54.6M,$1.38B
Demand,Conversion-day ÷ pre-listing,5.87×,2.97×,1.74×
Participation,Unique wallets (pre-listing window),"2,600","1,690","17,882"
Participation,Top-10 wallet share (taker volume),15.5%,19.7%,25.9%
Participation,Gini coefficient (taker volume),0.840,0.820,0.946
Market quality,Realized vol (annualized),282%,190%,60%
Market quality,Launch-phase median spread,110 bps,64 bps,7.4 bps
Market quality,$100k slippage (launch phase),473 bps,327 bps,51 bps
