coin,median_spread_bps,depth_share_10,depth_usd_10,n,book
xyz:SP500,0.1357013551693484,1.0,2163371.962525001,42.0,xyz_rwa
xyz:SILVER,0.1710753319857018,1.0,1473939.1489875,42.0,xyz_rwa
xyz:GOLD,0.2473502628329161,1.0,1827858.34553,42.0,xyz_rwa
xyz:XYZ100,0.3407274108040957,1.0,9827131.064825,42.0,xyz_rwa
xyz:CL,0.718806548616626,1.0,1583832.429884,42.0,xyz_rwa
xyz:BRENTOIL,0.7922494893961035,1.0,1012866.9297550002,42.0,xyz_rwa
xyz:TSLA,1.012769278211444,1.0,267629.277315,42.0,xyz_rwa
xyz:NVDA,1.0278864171858424,0.8854055654446132,661788.9658575,42.0,xyz_rwa
xyz:JPY,1.393347047648941,0.6258083805018816,720486.9852499999,42.0,xyz_rwa
xyz:MU,1.649179290052274,0.4198700090657117,462201.461675,42.0,xyz_rwa
xyz:EUR,1.7562346329467682,0.4540348848994776,581136.0031125001,42.0,xyz_rwa
xyz:SNDK,1.8968079307917671,0.8003064355527016,407772.16035,42.0,xyz_rwa
xyz:NATGAS,1.9102814662604115,0.8919037201288665,224651.3141425,42.0,xyz_rwa
xyz:COPPER,2.025412303147435,0.7544631652624793,130590.3292805,42.0,xyz_rwa
xyz:MSFT,2.139675587620043,0.8834589740831845,335876.64834500005,42.0,xyz_rwa
xyz:SKHX,2.319276978852709,0.4617351712923675,194265.7656,42.0,xyz_rwa
xyz:AAPL,2.363545392408753,0.7599924919535287,116466.33770499998,42.0,xyz_rwa
xyz:GOOGL,2.579359457656407,0.9582730716168496,252379.950305,42.0,xyz_rwa
xyz:INTC,2.9344673187445496,0.4060128834250635,231139.832825,42.0,xyz_rwa
xyz:MSTR,3.3517084486940054,0.8200521770425212,86852.93490675002,42.0,xyz_rwa
xyz:AMD,3.518400217335006,0.8244922425622268,122564.5667425,42.0,xyz_rwa
xyz:PLTR,3.5546252186552847,0.3681821301177802,121567.5740875,42.0,xyz_rwa
xyz:EWY,3.574626771761883,0.6761950696292396,235640.2259025,42.0,xyz_rwa
xyz:META,3.783866157831933,0.6394708179478426,188608.576835,42.0,xyz_rwa
xyz:AMZN,3.804427839952053,0.6227096581548657,185881.4976,42.0,xyz_rwa
xyz:SMSN,4.156092839326378,0.3342960261482568,46123.4722075,42.0,xyz_rwa
xyz:CRCL,4.53734706084375,0.8349640219210993,143380.45221125003,42.0,xyz_rwa
xyz:ORCL,4.676968501994356,0.3228103387189592,114265.47212,42.0,xyz_rwa
xyz:COIN,4.679754526683637,0.2504306128369957,82299.56981749999,42.0,xyz_rwa
xyz:HOOD,4.739857452056476,0.4342340853683744,99591.7269955,42.0,xyz_rwa
xyz:PLATINUM,5.016561975153477,0.3096402483006532,66760.4897375,42.0,xyz_rwa
xyz:EWJ,6.133111529542568,0.3163885064262491,56015.681377999994,42.0,xyz_rwa
xyz:CRWV,6.224540253176171,0.191495795381864,35062.469,42.0,xyz_rwa
xyz:TSM,7.223449138173718,0.1613774896444587,26748.386830000003,42.0,xyz_rwa
xyz:BABA,7.713957537738543,0.28676407090142,60076.633904999995,42.0,xyz_rwa
xyz:PALLADIUM,8.810000427075742,0.1410213635237474,19923.45428,42.0,xyz_rwa
xyz:NFLX,11.095835891677645,0.137348425698592,40320.2347955,42.0,xyz_rwa
xyz:LLY,12.22444000659003,0.0609870947255574,12251.438805000002,42.0,xyz_rwa
xyz:RIVN,13.320311886843948,0.0249496807852158,3968.4704625,42.0,xyz_rwa
xyz:USAR,13.614072617024052,0.0375363064986365,4037.8075,42.0,xyz_rwa
xyz:HYUNDAI,17.69771897410139,0.0082949469496353,475.29045999999994,42.0,xyz_rwa
xyz:HIMS,18.093850512013024,0.0005995902324813,113.02352,42.0,xyz_rwa
xyz:URNM,18.52263404526802,0.0222866246208424,997.057525,42.0,xyz_rwa
xyz:COST,19.590517870662424,0.0014287703342193,285.659557,42.0,xyz_rwa
xyz:DKNG,36.09865478569165,0.0,0.0,42.0,xyz_rwa
SOL,0.1409774765,,,,hl_crypto
HYPE,0.16318937525,,,,hl_crypto
BTC,0.16634512755,,,,hl_crypto
PAXG,0.2482806565,,,,hl_crypto
ZEC,0.4937357041,,,,hl_crypto
ETH,0.6329714872000001,,,,hl_crypto
DOGE,0.67883478935,,,,hl_crypto
BNB,0.90249626085,,,,hl_crypto
TRX,0.93822256655,,,,hl_crypto
XRP,0.9521996004332604,,,,hl_crypto
AVAX,1.223382548,,,,hl_crypto
LTC,1.441465934,,,,hl_crypto
SUI,1.447633341,,,,hl_crypto
LINK,1.624207253463574,,,,hl_crypto
TRUMP,1.832193791,,,,hl_crypto
WLD,1.8938204105,,,,hl_crypto
TAO,1.931083148,,,,hl_crypto
WLFI,2.0506016895,,,,hl_crypto
ASTER,2.0652693626514735,,,,hl_crypto
BCH,2.080455393505096,,,,hl_crypto
NEAR,2.1417295875,,,,hl_crypto
HBAR,2.1755079756618567,,,,hl_crypto
LIT,2.229281642,,,,hl_crypto
UNI,2.46743007,,,,hl_crypto
XLM,2.5106136487872357,,,,hl_crypto
ARB,2.6327915195,,,,hl_crypto
ADA,2.650475558,,,,hl_crypto
MON,2.65710111,,,,hl_crypto
XMR,2.852166104568856,,,,hl_crypto
ENA,2.945502291,,,,hl_crypto
XPL,2.9554341065000003,,,,hl_crypto
AAVE,3.0514719615,,,,hl_crypto
ONDO,3.1288667295000003,,,,hl_crypto
CRV,3.1531574522919676,,,,hl_crypto
ATOM,3.1757214925,,,,hl_crypto
MNT,3.237647306,,,,hl_crypto
CC,3.2857158450000004,,,,hl_crypto
VIRTUAL,3.32852614980366,,,,hl_crypto
ETC,3.3558173865,,,,hl_crypto
ENS,3.409086922,,,,hl_crypto
APT,3.429355281,,,,hl_crypto
LDO,3.485688799,,,,hl_crypto
POL,3.567752017300311,,,,hl_crypto
FET,3.736861896863412,,,,hl_crypto
SEI,3.8710357515893232,,,,hl_crypto
kLUNC,4.065083079033449,,,,hl_crypto
APEX,4.0661274795,,,,hl_crypto
PEOPLE,4.0716855385,,,,hl_crypto
kFLOKI,4.088278905,,,,hl_crypto
WIF,4.092896234174823,,,,hl_crypto
CAKE,4.1508266795,,,,hl_crypto
2Z,4.182123902500001,,,,hl_crypto
INJ,4.195005232,,,,hl_crypto
kPEPE,4.203451468,,,,hl_crypto
ZRO,4.272125527307513,,,,hl_crypto
MOODENG,4.307518076303141,,,,hl_crypto
TIA,4.336619335899805,,,,hl_crypto
SAND,4.353674822,,,,hl_crypto
RUNE,4.399486905,,,,hl_crypto
CFX,4.4278318565,,,,hl_crypto
kSHIB,4.4789379375,,,,hl_crypto
MORPHO,4.5169293805,,,,hl_crypto
DASH,4.622093531,,,,hl_crypto
ICP,4.632954922,,,,hl_crypto
