coin,prev_close,close,ret_pct,quote_volume,is_semi
xyz:USAR,27.101,22.775,-15.96251060846463,1835851.10829,True
xyz:SKHX,1414.0,1227.5,-13.189533239038187,76262485.40459995,True
xyz:ARM,384.69,334.86,-12.953287062309904,15556557.15799998,True
xyz:DRAM,63.367,55.558,-12.323449113892082,33987656.39909999,True
xyz:INTC,109.82,96.97,-11.70096521580768,41479945.47516006,True
xyz:MU,970.76,858.04,-11.611520870245995,316264931.3900902,True
xyz:SNDK,1730.1,1530.9,-11.51378533032772,108026115.679,True
xyz:CRCL,90.572,80.378,-11.25513403700923,34563273.99178402,False
xyz:EWY,198.16,176.49,-10.935607589826402,38947919.55014992,True
xyz:SMSN,220.01,196.06,-10.885868824144351,24483300.11833997,True
xyz:AMD,514.08,458.81,-10.751244942421422,37445023.34340002,True
xyz:MRVL,305.07,273.11,-10.476284131510793,157137173.57600024,True
xyz:ORCL,234.24,209.98,-10.35689890710383,14186824.82720001,False
xyz:KR200,1335.0,1203.5,-9.850187265917597,828193.59794,True
xyz:RIVN,18.001,16.26,-9.671684906394084,449588.08406,False
xyz:URNM,61.223,55.469,-9.398428695098248,1004132.32847,False
xyz:BB,10.092,9.1711,-9.12504954419343,31179364.70652002,False
xyz:RKLB,117.64,107.32,-8.7725263515811,6195148.77500001,False
xyz:SILVER,73.844,67.78,-8.211906180596928,163859393.44573995,False
xyz:EWT,105.68,97.146,-8.075321725965178,351391.65318,False
xyz:CRWV,106.75,98.152,-8.05433255269321,8485657.68580001,False
xyz:LITE,920.07,847.39,-7.899398958774883,13890017.82537,True
xyz:HIMS,27.901,25.815,-7.476434536396537,3527463.66761,False
xyz:COIN,163.87,151.72,-7.414413864648806,11997671.65623001,False
xyz:PALLADIUM,1313.5,1217.3,-7.323943661971832,1265818.73541,False
xyz:MSTR,129.08,120.0,-7.034397273008997,23869627.34007998,False
xyz:AVGO,413.4,384.52,-6.985970004837927,11091372.95280001,True
xyz:NOW,119.15,110.83,-6.982794796475034,4420982.6037,False
xyz:PURRDAT,9.3111,8.6729,-6.854184790196638,12684391.831,False
xyz:HOOD,87.281,81.445,-6.68644951363987,12492192.01120602,False
xyz:DELL,415.0,387.45,-6.638554216867476,2121478.8098,False
xyz:IBM,300.01,280.11,-6.633112229592342,2206791.9946,False
xyz:TSM,439.76,411.46,-6.435328360924142,5354078.50542999,True
xyz:HYUNDAI,447.02,418.84,-6.303968502527857,2681141.27209,False
xyz:TSLA,416.1,390.94,-6.0466234078346615,28059758.67490998,False
xyz:PLATINUM,1893.3,1780.1,-5.978978503142662,1327310.77632,False
xyz:NVDA,216.48,204.14,-5.70029563932003,151775417.18009993,True
xyz:META,624.59,589.23,-5.661313821867142,11731783.18968,False
xyz:ASML,1739.8,1643.6,-5.529371192091048,420085.0848,True
xyz:PLTR,140.94,133.91,-4.987938129700586,10326922.78215001,False
xyz:XYZ100,30202.0,28889.0,-4.347394212303824,957274348.4339986,False
xyz:BABA,126.2,120.83,-4.255150554675124,1544723.41149,False
xyz:BIRD,4.1048,3.931,-4.234067433248878,294428.32173,False
xyz:EWJ,93.999,90.355,-3.8766369854998373,611676.076248,False
xyz:NATGAS,3.3552,3.2301,-3.728540772532185,5363638.16093999,False
xyz:JP225,67096.0,64699.0,-3.572493144151667,1376059.06507,False
xyz:MSFT,427.46,412.55,-3.488045665091466,14723964.19129999,False
xyz:ZM,105.02,101.4,-3.446962483336502,442223.52828,False
xyz:BX,118.9,115.0,-3.280067283431465,204567.755,False
xyz:GOLD,4463.0,4325.8,-3.0741653596235707,57696710.63098998,False
xyz:AMZN,253.42,245.79,-3.0108120906005786,7342380.30544999,False
xyz:COPPER,6.5134,6.3181,-2.9984339976049323,11623788.07495299,False
xyz:GME,22.479,21.846,-2.8159615641265123,308652.91338,False
xyz:SP500,7557.2,7379.7,-2.3487535065897402,830561395.2855,False
xyz:EWZ,34.798,34.035,-2.1926547502730154,1028427.68748,False
xyz:DKNG,25.371,24.856,-2.0298766307989324,204953.20407,False
xyz:CL,92.835,91.131,-1.8355146227177155,345228920.652113,False
xyz:GOOGL,370.62,364.53,-1.6431924882629234,18198095.40077998,False
xyz:XLE,58.986,58.03,-1.620723561523063,250796.14818,False
xyz:BRENTOIL,95.342,94.25,-1.14535042268884,188129641.54413003,False
xyz:AAPL,310.52,307.48,-0.9790029627721131,10523909.80506999,False
xyz:EUR,1.1616,1.1531,-0.7317493112947604,4617887.27199,False
xyz:GBP,1.3428,1.3333,-0.7074769139112314,120347.2615,False
xyz:COST,974.42,970.75,-0.37663430553559474,242444.180252,False
xyz:LLY,1126.7,1123.9,-0.2485133575929721,4929760.15364,False
xyz:EBAY,109.5,109.53,0.02739726027396472,37918.9537,False
xyz:JPY,159.91,160.12,0.13132386967669163,2062648.3417,False
xyz:NFLX,81.615,81.782,0.20461924891257421,717586.971207,False
