cohort,sym,p25,med_weekday_baseline,p75,peak,n,peak_bps_from,peak_bps_to,cohort_label,med_thu_sat_baseline
korean,KR200,0.38784048743415067,1.0570647849503785,1.9487576167989424,5.644631055127916,22,34.71284761059899,195.94121763470994,Korean listings,0.6969439686564685
korean,SKHX,0.8141278266566304,1.2691118060760165,1.914646656275953,4.5930799046977535,22,5.1098620337247995,23.470004622879372,Korean listings,1.9317427506415634
korean,SMSN,0.7517419124238993,1.0204177336380735,1.5998441827431549,2.822782329559208,22,4.291464579020168,12.113870381587377,Korean listings,2.0032396447653733
reference,SP500,0.9909342379276026,0.9996672365992344,1.8911051445138227,4.100518149445976,22,0.1320956133832141,0.5416604601400682,Index reference,0.580352319833005
reference,XYZ100,0.9946247976889877,1.0049561531979025,1.0113782072385455,3.14279399717095,22,0.32735974141072,1.0288242302210453,Index reference,0.9815656871789077
us_semis,AMD,0.7093056415544439,1.0301820599759277,1.5280475757346095,2.9819314990033954,22,1.3121514597673054,3.9127457693434144,US semiconductors,0.973693872373647
us_semis,ARM,0.8151082134200245,1.3223851896247822,1.75302695961578,2.9280457195005822,22,6.429936558709015,18.827148217388235,US semiconductors,1.0524010127788268
us_semis,DRAM,0.7495485123541831,1.126274098750468,1.4354489010690301,2.5374489934638387,22,4.5976900185472855,11.666403909821547,US semiconductors,1.0600456609793132
us_semis,INTC,0.5992719967282265,0.9282726248387793,1.599645832328736,4.046869608902809,22,0.9072219413961438,3.67140890316586,US semiconductors,1.0123550008063864
us_semis,MRVL,0.8992521314386951,1.0865274986534454,1.2500890942978546,1.3542635583358507,22,3.0474253076005002,4.127017040833778,US semiconductors,1.039747912908651
us_semis,MU,0.927238580001601,1.1557334125261367,1.451580008926743,2.381707732055324,22,1.5263022394547097,3.6352058451626386,US semiconductors,0.993223608726588
us_semis,SNDK,0.8653972465751948,0.9972417764346979,1.3939423174833108,1.9903079073950412,22,1.4521657343084868,2.890256943842308,US semiconductors,0.9177941052594323
us_semis,USAR,0.5021138527402353,0.8349804720867444,1.0971664267343673,2.356041432010578,22,12.892132138134194,30.374397464399276,US semiconductors,0.6900916274810043
